W +11        74        12       1867980.1
    1 60963A52B52C        (0)0(   104.0)            0.0
    2 60963A52B51C51D     (0)0(   419.0)       458153.1
    3 60963A52B51C51G     (0)0(    83.5)       712502.1
    4 60963A52B51C51H     (0)0(   251.0)       845701.2
    5 60963A52B51C51E     (0)0(   587.5)       892976.0
    6 60963A52B51C51I     (0)0(   419.0)      1028347.9
    7 60963A52B51C51M     (0)0(    83.5)      1131654.5
    8 60963A52B51C51N     (0)0(   251.0)      1198308.9
    9 60963A52B51C51J     (0)0(   587.5)      1221968.3
   10 60963A52B51C51O     (0)0(   419.0)      1293517.0
   11 60963A52B51C51P     (0)0(   587.5)      1399567.1
   -1    5147.04 913.338 805.232 226.883 193.938 154.163 61.3026 50.1552 35.3825 18.9008 20.0920 17.1168 12.3720 8.38910    0.0  10.0358 8.82190 7.15560 5.38760    0.0     0.0  6.21220 5.60520 4.73700 3.76900
 12.0    3         2.88+04 4.32+04 7.20+04 1.44+05 2.88+05 7.20+05 1.44+06 2.16+06 2.88+06 4.32+06 7.20+06 1.44+07 2.88+07 4.32+07
    2    1 8.30+10 5.78+02 5.80+02 5.83+02 5.92+02 6.12+02 6.78+02 7.76+02 8.58+02 9.27+02 1.04+03 1.20+03 1.46+03 1.75+03 1.92+03
    5    1 2.94+07 8.03+01 8.03+01 8.04+01 8.07+01 8.15+01 8.39+01 8.74+01 9.03+01 9.26+01 9.61+01 1.01+02 1.06+02 1.11+02 1.13+02
    3    1 1.41+11 1.55+01 1.56+01 1.57+01 1.60+01 1.66+01 1.92+01 2.37+01 2.79+01 3.18+01 3.87+01 4.96+01 6.82+01 9.05+01 1.05+02
    4    1 9.01+06 3.89+01 3.89+01 3.90+01 3.92+01 3.97+01 4.13+01 4.35+01 4.54+01 4.69+01 4.91+01 5.20+01 5.56+01 5.86+01 6.01+01
    6    1 3.56+08 2.03+01 2.03+01 2.03+01 2.04+01 2.05+01 2.07+01 2.11+01 2.15+01 2.17+01 2.21+01 2.25+01 2.31+01 2.36+01 2.39+01
    9    1 5.82+06 1.46+01 1.46+01 1.46+01 1.47+01 1.47+01 1.49+01 1.52+01 1.54+01 1.56+01 1.59+01 1.62+01 1.67+01 1.71+01 1.73+01
    7    1 6.35+10 2.43+00 2.43+00 2.44+00 2.46+00 2.52+00 2.72+00 3.10+00 3.48+00 3.85+00 4.51+00 5.60+00 7.55+00 9.94+00 1.15+01
    8    1 5.69+06 8.70+00 8.70+00 8.71+00 8.74+00 8.81+00 9.02+00 9.36+00 9.65+00 9.89+00 1.03+01 1.08+01 1.15+01 1.21+01 1.23+01
   10    1 1.32+08 5.28+00 5.28+00 5.28+00 5.29+00 5.30+00 5.33+00 5.37+00 5.40+00 5.42+00 5.46+00 5.49+00 5.53+00 5.56+00 5.57+00
   11    1 1.68+06 5.28+00 5.28+00 5.29+00 5.29+00 5.30+00 5.34+00 5.40+00 5.45+00 5.49+00 5.56+00 5.64+00 5.74+00 5.83+00 5.87+00
    5    2 1.22+11 1.05+03 1.05+03 1.06+03 1.08+03 1.13+03 1.28+03 1.51+03 1.71+03 1.87+03 2.14+03 2.53+03 3.14+03 3.82+03 4.25+03
    3    2 3.98+05 6.57+01 6.58+01 6.60+01 6.66+01 6.76+01 6.98+01 7.18+01 7.30+01 7.38+01 7.48+01 7.60+01 7.72+01 7.81+01 7.85+01
    4    2 4.00+10 1.35+02 1.36+02 1.37+02 1.41+02 1.51+02 1.82+02 2.28+02 2.66+02 2.98+02 3.51+02 4.28+02 5.48+02 6.83+02 7.67+02
    6    2 2.27+06 1.16+02 1.16+02 1.17+02 1.18+02 1.20+02 1.26+02 1.34+02 1.39+02 1.44+02 1.50+02 1.57+02 1.66+02 1.73+02 1.77+02
    9    2 1.40+10 8.80+01 8.81+01 8.83+01 8.88+01 9.01+01 9.41+01 1.00+02 1.05+02 1.10+02 1.17+02 1.27+02 1.42+02 1.59+02 1.69+02
    7    2 2.03+01 4.68+00 4.68+00 4.68+00 4.68+00 4.68+00 4.70+00 4.71+00 4.72+00 4.73+00 4.74+00 4.74+00 4.75+00 4.76+00 4.76+00
    8    2 1.72+10 1.35+01 1.35+01 1.36+01 1.38+01 1.41+01 1.55+01 1.77+01 1.97+01 2.14+01 2.44+01 2.89+01 3.61+01 4.43+01 4.95+01
   10    2 1.44+06 2.51+01 2.51+01 2.52+01 2.53+01 2.55+01 2.63+01 2.74+01 2.83+01 2.89+01 2.99+01 3.12+01 3.27+01 3.40+01 3.46+01
   11    2 3.36+09 2.50+01 2.50+01 2.50+01 2.51+01 2.53+01 2.60+01 2.70+01 2.78+01 2.85+01 2.97+01 3.13+01 3.37+01 3.62+01 3.76+01
    6    5 4.25+09 1.08+03 1.09+03 1.11+03 1.19+03 1.33+03 1.67+03 2.04+03 2.30+03 2.51+03 2.81+03 3.23+03 3.83+03 4.45+03 4.82+03
    9    5 4.37+05 3.28+02 3.29+02 3.31+02 3.35+02 3.45+02 3.69+02 3.94+02 4.11+02 4.22+02 4.37+02 4.54+02 4.74+02 4.89+02 4.96+02
    8    5 1.78+05 1.24+01 1.24+01 1.25+01 1.26+01 1.29+01 1.37+01 1.46+01 1.51+01 1.55+01 1.60+01 1.66+01 1.73+01 1.78+01 1.81+01
   10    5 1.41+09 4.87+01 4.88+01 4.90+01 4.97+01 5.12+01 5.53+01 6.06+01 6.45+01 6.75+01 7.21+01 7.82+01 8.71+01 9.62+01 1.01+02
   11    5 2.48+05 6.56+01 6.56+01 6.58+01 6.62+01 6.72+01 6.97+01 7.28+01 7.49+01 7.63+01 7.84+01 8.07+01 8.35+01 8.57+01 8.66+01
    4    3 5.61+09 1.14+03 1.15+03 1.17+03 1.24+03 1.36+03 1.65+03 1.97+03 2.19+03 2.36+03 2.62+03 2.97+03 3.47+03 3.99+03 4.30+03
    6    3 1.09+06 1.64+02 1.65+02 1.65+02 1.67+02 1.71+02 1.81+02 1.91+02 1.98+02 2.02+02 2.08+02 2.14+02 2.22+02 2.27+02 2.30+02
    7    3 1.00-30 3.18+01 3.19+01 3.20+01 3.25+01 3.35+01 3.63+01 3.96+01 4.18+01 4.34+01 4.56+01 4.82+01 5.12+01 5.37+01 5.48+01
    8    3 8.78+08 2.34+01 2.34+01 2.34+01 2.34+01 2.35+01 2.37+01 2.38+01 2.39+01 2.39+01 2.41+01 2.43+01 2.49+01 2.58+01 2.64+01
   10    3 6.12+03 1.57+01 1.57+01 1.57+01 1.57+01 1.58+01 1.59+01 1.60+01 1.61+01 1.62+01 1.62+01 1.63+01 1.64+01 1.64+01 1.64+01
    5    4 7.50+01 3.25+02 3.28+02 3.31+02 3.36+02 3.40+02 3.45+02 3.48+02 3.49+02 3.50+02 3.50+02 3.51+02 3.52+02 3.52+02 3.52+02
    6    4 1.98+10 1.74+03 1.76+03 1.79+03 1.88+03 2.08+03 2.59+03 3.20+03 3.65+03 4.00+03 4.54+03 5.29+03 6.38+03 7.54+03 8.24+03
    9    4 3.32+06 1.48+02 1.48+02 1.49+02 1.52+02 1.58+02 1.73+02 1.90+02 2.02+02 2.10+02 2.21+02 2.34+02 2.50+02 2.62+02 2.67+02
    7    4 4.06+10 5.59+01 5.65+01 5.77+01 6.14+01 7.01+01 9.78+01 1.38+02 1.72+02 2.00+02 2.45+02 3.10+02 4.12+02 5.27+02 5.98+02
    8    4 1.35+06 1.41+02 1.41+02 1.42+02 1.45+02 1.51+02 1.65+02 1.82+02 1.92+02 2.00+02 2.10+02 2.22+02 2.36+02 2.47+02 2.52+02
   10    4 6.42+08 8.13+01 8.15+01 8.17+01 8.24+01 8.40+01 8.80+01 9.27+01 9.60+01 9.83+01 1.02+02 1.06+02 1.11+02 1.16+02 1.18+02
   11    4 1.26+06 3.62+01 3.62+01 3.63+01 3.66+01 3.72+01 3.88+01 4.09+01 4.22+01 4.33+01 4.46+01 4.62+01 4.81+01 4.96+01 5.03+01
    9    6 2.83+10 1.94+03 1.96+03 2.01+03 2.14+03 2.42+03 3.17+03 4.12+03 4.82+03 5.38+03 6.25+03 7.45+03 9.25+03 1.12+04 1.23+04
