W + 1        74         2        132033.0
    1 60964A52B56C54D51G    (0)0(   209.0)            0.0
    2 60964A52B56C55D       (0)0(   124.5)         6320.9
    3 60964A52B56C54D51H    (0)0(   629.5)        39626.1
    4 60964A52B56C53D51G51H (0)0(   719.5)        42665.8
    5 60964A52B56C54D51M    (0)0(   209.0)        70418.4
    6 60964A52B56C54D51I    (0)0(  1049.5)        77233.1
    7 60964A52B56C54D51N    (0)0(   629.5)        81984.7
    8 60964A52B56C54D51E    (0)0(  1469.5)        90588.1
    9 60964A52B56C54D51O    (0)0(  1049.5)        95438.5
   10 60964A52B56C54D51J    (0)0(  1469.5)       101111.9
   11 60964A52B56C54D51P    (0)0(  1469.5)       106774.4
   12 60964A52B56C54D51K    (0)0(  1889.5)       107081.6
   13 60964A52B56C54D51L    (0)0(  2309.5)       107169.4
   14 60964A52B55C55D51G    (0)0(  1511.0)       338177.3
   15 60964A52B55C54D51G51H (0)0(  7559.5)       385627.7
   16 60964A52B55C54D51G51I (0)0( 12599.5)       430400.5
   17 60964A52B55C54D51G51N (0)0(  7559.5)       435415.5
   18 60964A52B55C54D51E51G (0)0( 17639.5)       445324.8
   19 60964A52B55C54D51G51O (0)0( 12599.5)       449988.6
   20 60964A52B55C54D51G51J (0)0( 17639.5)       456155.8
   21 60964A52B55C54D51G51P (0)0( 17639.5)       461928.0
   22 60964A51B56C55D51G    (0)0(   503.0)       655603.3
   23 60964A51B56C54D52G    (0)0(   209.0)       669265.6
   24 60964A51B56C54D51G51H (0)0(  2519.5)       706653.1
   25 60964A51B56C54D51G51M (0)0(   839.0)       743788.2
   26 60964A51B56C54D51G51I (0)0(  4199.5)       751272.3
   27 60964A51B56C54D51G51N (0)0(  2519.5)       756451.9
   28 60964A51B56C54D51G51O (0)0(  4199.5)       770992.0
   -1    5132.29 898.704 790.592 212.413 179.485 139.679 47.0905 36.0164 21.2894 4.85529 8.00144 4.98433 1.67709 0.26460    0.0  1.38944 0.79515 0.39767 0.16750 0.11200 0.11120 0.45970 0.35223 0.22290 0.11550
  2.0    3         8.00+02 1.20+03 2.00+03 4.00+03 8.00+03 2.00+04 4.00+04 6.00+04 8.00+04 1.20+05 2.00+05 4.00+05 8.00+05 1.20+06
    2    1 4.44-02 2.62+02 2.63+02 2.67+02 2.76+02 2.95+02 3.39+02 3.81+02 4.04+02 4.18+02 4.34+02 4.51+02 4.69+02 4.81+02 4.83+02
    3    1 4.41+08 8.28+03 8.28+03 8.29+03 8.32+03 8.39+03 8.62+03 9.07+03 9.52+03 9.94+03 1.07+04 1.20+04 1.43+04 1.72+04 1.92+04
    4    1 1.82+08 3.47+03 3.47+03 3.47+03 3.48+03 3.51+03 3.59+03 3.75+03 3.91+03 4.07+03 4.35+03 4.83+03 5.69+03 6.78+03 7.50+03
    5    1 1.00-30 2.63+02 2.63+02 2.63+02 2.63+02 2.64+02 2.67+02 2.71+02 2.75+02 2.80+02 2.87+02 2.99+02 3.18+02 3.37+02 3.47+02
    6    1 6.34+03 4.88+02 4.88+02 4.88+02 4.88+02 4.90+02 4.94+02 5.03+02 5.11+02 5.19+02 5.34+02 5.58+02 5.98+02 6.39+02 6.60+02
    7    1 2.81+07 3.53+02 3.53+02 3.53+02 3.54+02 3.54+02 3.56+02 3.60+02 3.64+02 3.68+02 3.76+02 3.89+02 4.12+02 4.40+02 4.58+02
    9    1 2.72+03 1.29+02 1.29+02 1.29+02 1.29+02 1.29+02 1.30+02 1.32+02 1.33+02 1.35+02 1.37+02 1.42+02 1.50+02 1.58+02 1.63+02
   14    1 4.28+10 2.32+03 2.32+03 2.32+03 2.32+03 2.32+03 2.33+03 2.34+03 2.35+03 2.37+03 2.40+03 2.47+03 2.65+03 3.00+03 3.31+03
   15    1 5.65+04 2.13+02 2.13+02 2.13+02 2.13+02 2.13+02 2.14+02 2.14+02 2.15+02 2.15+02 2.17+02 2.19+02 2.26+02 2.38+02 2.47+02
   16    1 2.42+08 1.06+02 1.06+02 1.06+02 1.06+02 1.06+02 1.06+02 1.06+02 1.07+02 1.07+02 1.08+02 1.10+02 1.14+02 1.23+02 1.31+02
   17    1 1.62+04 4.08+01 4.08+01 4.08+01 4.08+01 4.08+01 4.09+01 4.09+01 4.10+01 4.11+01 4.14+01 4.18+01 4.30+01 4.50+01 4.66+01
   18    1 8.08+03 5.14+00 5.14+00 5.14+00 5.15+00 5.15+00 5.16+00 5.17+00 5.19+00 5.21+00 5.25+00 5.34+00 5.56+00 5.97+00 6.29+00
   19    1 9.58+07 3.99+01 3.99+01 3.99+01 3.99+01 3.99+01 4.00+01 4.01+01 4.02+01 4.03+01 4.06+01 4.12+01 4.28+01 4.58+01 4.85+01
   20    1 6.52+03 3.92+00 3.92+00 3.92+00 3.92+00 3.92+00 3.93+00 3.94+00 3.95+00 3.97+00 4.00+00 4.06+00 4.23+00 4.52+00 4.76+00
   21    1 4.58+03 2.67+00 2.67+00 2.67+00 2.67+00 2.67+00 2.68+00 2.69+00 2.69+00 2.70+00 2.72+00 2.77+00 2.88+00 3.07+00 3.23+00
   22    1 1.58+07 1.79+02 1.79+02 1.79+02 1.79+02 1.80+02 1.80+02 1.80+02 1.80+02 1.80+02 1.81+02 1.82+02 1.84+02 1.89+02 1.93+02
   23    1 1.00-30 1.97+01 1.97+01 1.97+01 1.97+01 1.97+01 1.98+01 1.98+01 1.98+01 1.98+01 1.99+01 2.01+01 2.05+01 2.13+01 2.20+01
   24    1 1.49+08 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.73+01 1.74+01 1.74+01
   25    1 1.00-30 5.62+00 5.62+00 5.62+00 5.62+00 5.62+00 5.63+00 5.64+00 5.64+00 5.65+00 5.67+00 5.71+00 5.81+00 6.01+00 6.18+00
   26    1 9.64+04 1.07+01 1.07+01 1.07+01 1.07+01 1.07+01 1.07+01 1.07+01 1.07+01 1.07+01 1.08+01 1.08+01 1.09+01 1.10+01 1.12+01
   27    1 4.92+07 3.74+00 3.74+00 3.74+00 3.74+00 3.74+00 3.74+00 3.74+00 3.74+00 3.74+00 3.75+00 3.75+00 3.75+00 3.76+00 3.76+00
