W +72        74        73     638637873.8
    1 21                  (0)0(     0.0)            0.0
    2 11512               (0)0(     1.5)    476042593.2
    3 11513               (0)0(     5.5)    485400888.0
    4 11514               (0)0(     1.5)    567832565.8
    5 11515               (0)0(     5.5)    570586707.6
    6 11516               (0)0(     9.5)    572476471.0
    7 11517               (0)0(     1.5)    599341216.7
    8 11518               (0)0(     5.5)    600491032.8
    9 11519               (0)0(     9.5)    601289119.0
   10 1151B               (0)0(     1.5)    613686653.0
   11 1151C               (0)0(     5.5)    614266296.2
   12 1151D               (0)0(     9.5)    614673827.4
   13 1151G               (0)0(     1.5)    621376337.8
   14 1151H               (0)0(     5.5)    621710926.7
   15 1151I               (0)0(     9.5)    621946049.8
   -1    5902.54 1479.48 1394.15 643.074 617.973 600.782 355.971 345.501 338.236    0.0  225.260 219.984 216.272    0.0     0.0  155.192 152.149 150.006
 73.0    3         1.07+06 1.60+06 2.66+06 5.33+06 1.07+07 2.66+07 5.33+07 7.99+07 1.07+08 1.60+08 2.66+08 5.33+08 1.07+09 1.60+09
    2    1 1.00-30 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.59-04 1.59-04 1.60-04 1.63-04 1.66-04 1.69-04
    3    1 9.94+15 7.77-04 7.77-04 7.77-04 7.77-04 7.78-04 7.80-04 7.83-04 7.87-04 7.91-04 8.00-04 8.20-04 8.73-04 9.76-04 1.07-03
    4    1 1.00-30 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.97-05 2.97-05 2.97-05 2.98-05 2.99-05 3.02-05 3.07-05 3.10-05
    5    1 2.43+15 1.49-04 1.49-04 1.49-04 1.49-04 1.49-04 1.50-04 1.50-04 1.51-04 1.51-04 1.52-04 1.55-04 1.63-04 1.77-04 1.91-04
    6    1 4.98+13 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.22-05 1.22-05 1.22-05 1.23-05 1.24-05 1.28-05 1.34-05 1.39-05
    7    1 1.00-30 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.08-05 1.09-05 1.10-05 1.11-05
    8    1 9.54+14 5.42-05 5.42-05 5.42-05 5.42-05 5.43-05 5.43-05 5.45-05 5.47-05 5.49-05 5.53-05 5.62-05 5.86-05 6.35-05 6.79-05
    9    1 2.73+13 5.95-06 5.95-06 5.95-06 5.95-06 5.95-06 5.96-06 5.97-06 5.98-06 6.00-06 6.03-06 6.09-06 6.25-06 6.53-06 6.75-06
   10    1 1.00-30 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.08-06 5.08-06 5.08-06 5.09-06 5.11-06 5.15-06 5.22-06 5.28-06
   11    1 4.71+14 2.58-05 2.59-05 2.59-05 2.59-05 2.59-05 2.59-05 2.60-05 2.61-05 2.61-05 2.63-05 2.67-05 2.79-05 3.01-05 3.21-05
   12    1 1.51+13 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.20-06 3.20-06 3.21-06 3.23-06 3.26-06 3.34-06 3.48-06 3.60-06
