W + 0        74         1         63427.7
    1 60964A52B56C54D52G    (5)2(12.0)            0.0
    2 60964A52B56C54D51G51H (7)3(24.0)         9919.0
    3 60964A52B56C54D51G51H (7)1(10.0)        11951.1
    4 60964A52B56C54D52G    (3)5(16.0)        11990.3
    5 60964A52B56C54D51G51H (7)2(17.0)        12274.0
    6 60964A52B56C54D52G    (3)1( 4.0)        14504.7
    7 60964A52B56C54D52G    (3)3(10.0)        15422.6
    8 60964A52B56C54D52G    (3)4(13.0)        16686.4
    9 60964A52B56C54D51G51H (5)1( 7.0)        20025.5
   10 60964A52B56C54D52G    (3)2( 7.0)        20701.9
   11 60964A52B56C54D52G    (1)6( 6.0)        20929.3
   12 60964A52B56C54D51G51H (5)3(17.0)        21546.2
   13 60964A52B56C54D52G    (1)4( 4.0)        24538.3
   14 60964A52B56C54D52G    (1)0( 0.0)        25935.1
   15 60964A52B56C54D51G51H (5)5(27.0)        26091.9
   16 60964A52B56C54D51G51H (5)2(12.0)        26309.0
   17 60964A52B56C54D52G    (1)2( 2.0)        27161.7
   18 60964A52B56C54D51G51H (5)6(32.0)        28208.7
   19 60964A52B56C54D51G51H (5)4(22.0)        28780.4
   20 60964A52B56C54D52G    (1)3( 3.0)        29285.8
   21 60964A52B56C54D51G51H (5)2(12.0)        29481.8
   22 60964A52B56C54D51G51H (5)1( 7.0)        31036.0
   23 60964A52B56C54D51G51H (3)1( 4.0)        31170.0
   24 60964A52B56C54D51G51H (5)3(17.0)        31711.0
   25 60964A52B56C54D51G51H (5)4(22.0)        32448.0
   26 60964A52B56C54D51G51H (5)5(27.0)        32770.0
   27 60964A52B56C54D51G51H (5)2(12.0)        32952.0
   28 60964A52B56C54D51G51H (5)0( 2.0)        33806.0
   29 60964A52B56C54D51G51H (5)3(17.0)        34116.0
   30 60964A52B56C54D51G51H (5)4(22.0)        34545.0
   31 60964A52B56C54D52G    (3)3(10.0)        35036.0
   32 60964A52B56C54D52G    (3)1( 4.0)        35055.0
   33 60964A52B56C54D51G51H (3)3(10.0)        35187.0
   34 60964A52B56C54D51G51H (3)4(13.0)        35673.0
   35 60964A52B56C54D51G51H (5)2(12.0)        37438.0
   36 60964A52B56C54D51G51H (5)1( 7.0)        38186.0
   37 60964A52B56C54D51G51H (1)1( 1.0)        38389.0
   38 60964A52B56C54D51G51H (5)3(17.0)        38431.0
   39 60964A52B56C54D51G51H (3)3(10.0)        38521.0
   40 60964A52B56C54D51G51H (3)2( 7.0)        39552.0
   41 60964A52B56C54D52G    (1)4( 4.0)        39667.0
   42 60964A52B56C54D51G51H (5)3(17.0)        39762.0
   43 60964A52B56C54D51G51H (3)6(19.0)        40020.0
   44 60964A52B56C54D51G51H (3)2( 7.0)        40355.0
   45 60964A52B56C54D51G51H (5)1( 7.0)        40533.0
   46 60964A52B56C54D51G51H (3)6(19.0)        40586.0
   47 60964A52B56C54D51G51H (3)4(13.0)        40870.0
   48 60964A52B56C54D51G51H (3)7(22.0)        41156.0
   49 60964A52B56C54D51G51H (5)2(12.0)        42435.0
   50 60964A52B56C54D51G51H (3)1( 4.0)        42688.0
   51 60964A52B56C54D51G51H (1)0( 0.0)        43695.0
   52 60964A52B56C54D51G51H (1)6( 6.0)        43886.0
   53 60964A52B56C54D51G51H (3)5(16.0)        43898.0
   54 60964A52B56C54D51G51H (1)2( 2.0)        43902.0
   55 60964A52B56C54D51G51H (3)3(10.0)        44414.0
   56 60964A52B56C54D51G51H (3)1( 4.0)        44554.0
   57 60964A52B56C54D51G51H (3)4(13.0)        44862.0
   58 60964A52B56C54D51G51H (3)5(16.0)        45355.0
   59 60964A52B56C54D51G51H (3)3(10.0)        45371.0
   60 60964A52B56C54D51G51H (3)3(10.0)        45695.0
   61 60964A52B56C54D51G51H (3)5(16.0)        45771.0
   62 60964A52B56C54D51G51H (5)2(12.0)        45809.0
   63 60964A52B56C54D51G51H (3)4(13.0)        45827.0
   64 60964A52B56C54D51G51H (3)5(16.0)        46588.0
   65 60964A52B56C54D51G51H (3)2( 7.0)        46801.0
   66 60964A52B56C54D51G51H (3)6(19.0)        46817.0
   67 60964A52B56C54D51G51H (3)5(16.0)        46992.0
   68 60964A52B56C54D51G51H (1)4( 4.0)        47275.0
   69 60964A52B56C54D51G51H (1)3( 3.0)        47769.0
   70 60964A52B56C54D51G51H (1)5( 5.0)        48099.0
   71 60964A52B56C54D51G51H (1)3( 3.0)        49187.0
   72 60964A52B56C54D51G51H (5)1( 7.0)        49275.0
   73 60964A52B56C54D51G51H (1)5( 5.0)        49288.0
   74 60964A52B56C54D51G51H (3)4(13.0)        49329.0
   75 60964A52B56C54D51G51H (3)3(10.0)        49723.0
   76 60964A52B56C54D51G51H (1)4( 4.0)        49850.0
   77 60964A52B56C54D51G51H (3)2( 7.0)        49999.0
   78 60964A52B56C54D51G51H (3)0( 1.0)        50139.0
   79 60964A52B56C54D51G51H (1)4( 4.0)        50759.0
   80 60964A52B56C54D51G51H (3)3(10.0)        50834.0
   81 60964A52B56C54D51G51H (3)1( 4.0)        51049.0
   82 60964A52B56C54D51G51H (1)2( 2.0)        51306.0
   83 60964A52B56C54D51G51H (5)3(17.0)        51872.0
   84 60964A52B56C54D51G51H (5)4(22.0)        51885.0
   85 60964A52B56C54D52G    (1)2( 2.0)        52053.0
   86 60964A52B56C54D51G51H (3)2( 7.0)        52196.0
   87 60964A52B56C54D51G51H (3)2( 7.0)        52329.0
   88 60964A52B56C54D51G51H (1)1( 1.0)        52387.0
   89 60964A52B56C54D51G51H (3)1( 4.0)        52532.0
   90 60964A52B56C54D51G51H (3)5(16.0)        52758.0
   91 60964A52B56C54D51G51H (3)1( 4.0)        52779.0
   92 60964A52B56C54D51G51H (3)2( 7.0)        52924.0
   93 60964A52B56C54D51G51H (3)1( 4.0)        53242.0
   94 60964A52B56C54D51G51H (3)4(13.0)        53744.0
