W +73        74        74     651337880.0
    1 11                 (2)0( 0.5)            0.0
    2 12                 (2)0( 0.5)    483720000.0
    3 13                 (2)1( 2.5)    492660000.0
    4 14                 (2)0( 0.5)    577430000.0
    5 15                 (2)1( 2.5)    580080000.0
    6 16                 (2)2( 4.5)    581990000.0
    7 17                 (2)0( 0.5)    609690000.0
    8 18                 (2)1( 2.5)    610800000.0
    9 19                 (2)2( 4.5)    611600000.0
   10 1B                 (2)0( 0.5)    624390000.0
   11 1C                 (2)1( 2.5)    624950000.0
   12 1D                 (2)2( 4.5)    625360000.0
   13 1G                 (2)0( 0.5)    632280000.0
   14 1H                 (2)1( 2.5)    632600000.0
   15 1I                 (2)2( 4.5)    632840000.0
   -1    5921.02 1513.00 1431.59 659.115 634.916 617.538 365.123 355.034 347.689    0.0  231.183 226.067 222.314    0.0     0.0  159.299 156.360 154.193
 74.0    3       1.10+06 1.64+06 2.74+06 5.48+06 1.10+07 2.74+07 5.48+07 8.21+07 1.10+08 1.64+08 2.74+08 5.48+08 1.10+09 1.64+09
   2   1 1.00-30 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.57-04 1.57-04 1.58-04 1.60-04 1.64-04 1.67-04
   3   1 2.07+16 7.76-04 7.76-04 7.76-04 7.76-04 7.77-04 7.79-04 7.83-04 7.87-04 7.91-04 8.00-04 8.20-04 8.73-04 9.77-04 1.07-03
   4   1 1.00-30 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.93-05 2.93-05 2.93-05 2.94-05 2.95-05 2.98-05 3.03-05 3.06-05
   5   1 5.05+15 1.48-04 1.48-04 1.48-04 1.48-04 1.48-04 1.49-04 1.49-04 1.50-04 1.50-04 1.52-04 1.54-04 1.62-04 1.76-04 1.89-04
   6   1 1.08+14 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.24-05 1.24-05 1.24-05 1.25-05 1.26-05 1.30-05 1.36-05 1.41-05
   7   1 1.00-30 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.06-05 1.06-05 1.06-05 1.06-05 1.07-05 1.09-05 1.10-05
   8   1 1.98+15 5.38-05 5.38-05 5.38-05 5.38-05 5.38-05 5.39-05 5.40-05 5.42-05 5.44-05 5.48-05 5.57-05 5.81-05 6.29-05 6.73-05
   9   1 5.85+13 6.03-06 6.03-06 6.03-06 6.03-06 6.03-06 6.04-06 6.05-06 6.07-06 6.08-06 6.11-06 6.18-06 6.34-06 6.62-06 6.84-06
  10   1 1.00-30 5.00-06 5.00-06 5.00-06 5.00-06 5.00-06 5.00-06 5.00-06 5.01-06 5.01-06 5.02-06 5.04-06 5.08-06 5.15-06 5.20-06
  11   1 9.74+14 2.56-05 2.56-05 2.56-05 2.56-05 2.56-05 2.57-05 2.57-05 2.58-05 2.59-05 2.61-05 2.65-05 2.76-05 2.98-05 3.18-05
  12   1 3.28+13 3.22-06 3.22-06 3.22-06 3.22-06 3.23-06 3.23-06 3.23-06 3.24-06 3.25-06 3.27-06 3.30-06 3.38-06 3.53-06 3.64-06
  13   1 1.00-30 2.77-06 2.77-06 2.77-06 2.77-06 2.77-06 2.78-06 2.78-06 2.78-06 2.78-06 2.79-06 2.80-06 2.82-06 2.86-06 2.88-06
  14   1 5.51+14 1.42-05 1.42-05 1.42-05 1.42-05 1.42-05 1.43-05 1.43-05 1.44-05 1.44-05 1.45-05 1.47-05 1.53-05 1.65-05 1.76-05
  15   1 1.98+13 1.90-06 1.90-06 1.90-06 1.90-06 1.90-06 1.90-06 1.91-06 1.91-06 1.91-06 1.92-06 1.94-06 1.99-06 2.07-06 2.14-06
   3   2 4.78+12 4.85-02 5.07-02 5.38-02 5.84-02 6.34-02 7.10-02 7.77-02 8.20-02 8.53-02 9.01-02 9.64-02 1.05-01 1.15-01 1.20-01
   4   2 1.00-30 1.32-03 1.32-03 1.32-03 1.32-03 1.33-03 1.34-03 1.35-03 1.37-03 1.39-03 1.41-03 1.46-03 1.53-03 1.60-03 1.63-03
   5   2 7.24+14 1.47-03 1.47-03 1.48-03 1.48-03 1.49-03 1.54-03 1.63-03 1.72-03 1.82-03 2.03-03 2.41-03 3.22-03 4.38-03 5.20-03
   6   2 1.27+13 3.54-03 3.54-03 3.54-03 3.54-03 3.55-03 3.57-03 3.61-03 3.65-03 3.68-03 3.75-03 3.85-03 4.01-03 4.17-03 4.26-03
   7   2 1.00-30 2.70-04 2.70-04 2.70-04 2.71-04 2.71-04 2.72-04 2.74-04 2.76-04 2.78-04 2.82-04 2.88-04 2.98-04 3.08-04 3.14-04
   8   2 3.14+14 3.96-04 3.97-04 3.97-04 3.98-04 4.00-04 4.08-04 4.22-04 4.38-04 4.55-04 4.90-04 5.57-04 7.01-04 9.12-04 1.07-03
   9   2 1.86+12 6.11-04 6.11-04 6.11-04 6.11-04 6.11-04 6.13-04 6.15-04 6.18-04 6.20-04 6.24-04 6.31-04 6.42-04 6.54-04 6.60-04
  10   2 1.00-30 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.05-04 1.05-04 1.06-04 1.06-04 1.08-04 1.10-04 1.13-04 1.17-04 1.19-04
  11   2 1.59+14 1.67-04 1.67-04 1.67-04 1.68-04 1.69-04 1.71-04 1.76-04 1.82-04 1.88-04 2.00-04 2.24-04 2.76-04 3.53-04 4.09-04
  12   2 4.98+11 2.17-04 2.17-04 2.17-04 2.17-04 2.17-04 2.18-04 2.18-04 2.19-04 2.19-04 2.20-04 2.22-04 2.24-04 2.27-04 2.28-04
  13   2 1.00-30 5.18-05 5.18-05 5.18-05 5.19-05 5.19-05 5.21-05 5.23-05 5.26-05 5.29-05 5.35-05 5.44-05 5.59-05 5.76-05 5.86-05
  14   2 9.14+13 8.73-05 8.74-05 8.74-05 8.76-05 8.80-05 8.92-05 9.16-05 9.43-05 9.72-05 1.03-04 1.15-04 1.40-04 1.77-04 2.04-04
  15   2 1.88+11 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.06-04 1.07-04 1.08-04 1.08-04
   4   3 3.78+14 4.56-04 4.56-04 4.57-04 4.58-04 4.61-04 4.71-04 4.93-04 5.17-04 5.42-04 5.93-04 6.89-04 8.91-04 1.18-03 1.39-03
   5   3 4.85+12 4.97-03 4.97-03 4.97-03 4.97-03 4.98-03 5.02-03 5.08-03 5.14-03 5.19-03 5.29-03 5.44-03 5.67-03 5.89-03 6.01-03
   6   3 2.13+15 1.90-02 1.90-02 1.90-02 1.91-02 1.92-02 1.96-02 2.04-02 2.12-02 2.20-02 2.36-02 2.65-02 3.23-02 4.03-02 4.58-02
   7   3 1.46+14 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.07-04 1.09-04 1.12-04 1.15-04 1.22-04 1.34-04 1.62-04 2.02-04 2.31-04
   8   3 1.81+12 1.01-03 1.01-03 1.01-03 1.01-03 1.02-03 1.02-03 1.03-03 1.03-03 1.04-03 1.05-03 1.07-03 1.10-03 1.13-03 1.15-03
   9   3 6.66+14 3.79-03 3.79-03 3.80-03 3.80-03 3.82-03 3.86-03 3.95-03 4.04-03 4.14-03 4.34-03 4.70-03 5.44-03 6.47-03 7.20-03
  10   3 7.14+13 4.23-05 4.23-05 4.23-05 4.23-05 4.25-05 4.29-05 4.37-05 4.46-05 4.56-05 4.77-05 5.18-05 6.07-05 7.42-05 8.42-05
  11   3 8.74+11 3.89-04 3.89-04 3.89-04 3.89-04 3.90-04 3.91-04 3.93-04 3.95-04 3.97-04 4.00-04 4.06-04 4.16-04 4.26-04 4.32-04
  12   3 3.00+14 1.44-03 1.44-03 1.44-03 1.44-03 1.44-03 1.46-03 1.48-03 1.51-03 1.54-03 1.60-03 1.72-03 1.95-03 2.29-03 2.52-03
  13   3 4.00+13 2.16-05 2.16-05 2.16-05 2.16-05 2.17-05 2.19-05 2.22-05 2.27-05 2.31-05 2.41-05 2.59-05 3.00-05 3.63-05 4.09-05
  14   3 4.88+11 1.94-04 1.94-04 1.94-04 1.94-04 1.95-04 1.95-04 1.96-04 1.97-04 1.98-04 1.99-04 2.02-04 2.06-04 2.11-04 2.14-04
  15   3 1.62+14 7.12-04 7.12-04 7.13-04 7.13-04 7.15-04 7.22-04 7.34-04 7.47-04 7.60-04 7.87-04 8.39-04 9.45-04 1.10-03 1.20-03
   5   4 7.76+11 2.99-01 3.13-01 3.33-01 3.62-01 3.95-01 4.45-01 4.89-01 5.16-01 5.36-01 5.65-01 6.03-01 6.55-01 7.09-01 7.40-01
