W +71        74        72     160800000.
    1  2s   2S(J=0.5)   (2)0( 0.5)              0.0
    2  2p*  2P(J=0.5)   (2)1( 0.5)        1558603.4
    3  2p   2P(J=1.5)   (2)1( 1.5)       13679174.9
    4  3s   3S(J=0.5)   (2)0( 0.5)       90169027.4
    5  3p*  3P(J=0.5)   (2)1( 0.5)       90619289.5
    6  3p   3P(J=1.5)   (2)1( 1.5)       94274456.9
    7  3d*  3D(J=1.5)   (2)2( 1.5)       94407728.7
    8  3d   3D(J=2.5)   (2)2( 2.5)       95427295.2
    9  4s   4S(J=0.5)   (2)0( 0.5)      121009184.6
   10  4p*  4P(J=0.5)   (2)1( 0.5)      121192247.0
   11  4p   4P(J=1.5)   (2)1( 1.5)      122722929.3
   12  4d*  4D(J=1.5)   (2)2( 1.5)      122778145.1
   13  4d   4D(J=2.5)   (2)2( 2.5)      123211606.2
   14  4f*  4F(J=2.5)   (2)3( 2.5)      123214898.3
   15  4f   4F(J=3.5)   (2)3( 3.5)      123424496.0
   16  5s   5S(J=0.5)   (2)0( 0.5)      135021502.2
   17  5p*  5P(J=0.5)   (2)1( 0.5)      135113991.8
   18  5p   5P(J=1.5)   (2)1( 1.5)      135891852.9
   19  5d*  5D(J=1.5)   (2)2( 1.5)      135920248.2
   20  5d   5D(J=2.5)   (2)2( 2.5)      136141916.9
   21  5f*  5F(J=2.5)   (2)3( 2.5)      136144111.7
   22  5f   5F(J=3.5)   (2)3( 3.5)      136250556.6
   23  5g*  5G(J=3.5)   (2)4( 3.5)      136251653.9
   24  5g   5G(J=4.5)   (2)4( 4.5)      136315301.4
   -1
72.00    3       2.59+07 5.18+07 1.04+08 2.59+08 5.18+08 1.04+09 2.59+09 5.18+09
   2   1 1.01+10 1.92-02 2.12-02 2.39-02 2.83-02 3.20-02 3.62-02 4.18-02 4.62-02
   3   1 7.99+12 2.80-02 2.99-02 3.28-02 3.88-02 4.50-02 5.24-02 6.33-02 7.24-02
   4   1 0.00+00 1.78-03 1.82-03 1.89-03 2.05-03 2.17-03 2.32-03 2.40-03 2.49-03
   5   1 7.48+14 5.58-04 6.32-04 7.77-04 1.15-03 1.56-03 2.11-03 2.88-03 3.59-03
   6   1 5.41+14 5.23-04 5.98-04 7.54-04 1.17-03 1.64-03 2.26-03 3.13-03 3.92-03
   7   1 0.00+00 1.07-03 1.11-03 1.20-03 1.42-03 1.59-03 1.80-03 1.92-03 2.05-03
   8   1 0.00+00 1.56-03 1.63-03 1.77-03 2.10-03 2.37-03 2.68-03 2.87-03 3.06-03
   9   1 0.00+00 3.59-04 3.65-04 3.78-04 4.06-04 4.31-04 4.59-04 4.77-04 4.96-04
  10   1 3.09+14 1.32-04 1.44-04 1.68-04 2.33-04 3.08-04 4.12-04 5.67-04 7.09-04
  11   1 2.55+14 1.54-04 1.68-04 2.00-04 2.88-04 3.91-04 5.34-04 7.41-04 9.34-04
  12   1 0.00+00 2.11-04 2.12-04 2.18-04 2.41-04 2.61-04 2.87-04 3.02-04 3.20-04
  13   1 0.00+00 3.22-04 3.25-04 3.37-04 3.76-04 4.10-04 4.54-04 4.79-04 5.08-04
  14   1 0.00+00 1.01-04 9.85-05 9.83-05 1.03-04 1.09-04 1.16-04 1.20-04 1.25-04
  15   1 0.00+00 1.29-04 1.27-04 1.27-04 1.36-04 1.44-04 1.55-04 1.60-04 1.68-04
  16   1 0.00+00 1.38-04 1.40-04 1.44-04 1.55-04 1.64-04 1.75-04 1.82-04 1.89-04
  17   1 1.54+14 5.46-05 5.85-05 6.69-05 9.00-05 1.18-04 1.56-04 2.14-04 2.69-04
