W +72        74        73 638636011.5(1S)
    1  1s2               (0)0(     0.0)            0.0000   {X}
    2  1s1 2s1           (0)0(     1.5)    476042593.2000   {X}
    3  1s1 2p1           (0)0(     5.5)    485400888.0000   {X}
    4  1s1 3s1           (0)0(     1.5)    567832565.8000   {X}
    5  1s1 3p1           (0)0(     5.5)    570586707.6000   {X}
    6  1s1 3d1           (0)0(     9.5)    572476471.0000   {X}
    7  1s1 4s1           (0)0(     1.5)    599341216.7000   {X}
    8  1s1 4p1           (0)0(     5.5)    600491032.8000   {X}
    9  1s1 4d1           (0)0(     9.5)    601289119.0000   {X}
   10  1s1 5s1           (0)0(     1.5)    613686653.0000   {X}
   11  1s1 5p1           (0)0(     5.5)    614266296.2000   {X}
   12  1s1 5d1           (0)0(     9.5)    614673827.4000   {X}
   13  1s1 6s1           (0)0(     1.5)    621376337.8000   {X}
   14  1s1 6p1           (0)0(     5.5)    621710926.7000   {X}
   15  1s1 6d1           (0)0(     9.5)    621946049.8000   {X}
   -1
 73.0    3           1.07+06 1.60+06 2.66+06 3.73+06 5.33+06 7.99+06 1.07+07 1.60+07 2.66+07 5.33+07 1.07+08 5.33+08 1.07+09 2.66+09
     2     1 1.00-30 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.58-04 1.59-04 1.62-04 1.66-04 1.72-04
     3     1 9.94+15 7.77-04 7.77-04 7.77-04 7.77-04 7.78-04 7.78-04 7.78-04 7.79-04 7.80-04 7.83-04 7.91-04 8.73-04 9.75-04 1.22-03
     4     1 1.00-30 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.96-05 2.97-05 2.97-05 3.02-05 3.07-05 3.15-05
     5     1 2.43+15 1.49-04 1.49-04 1.49-04 1.49-04 1.49-04 1.49-04 1.49-04 1.49-04 1.50-04 1.50-04 1.51-04 1.63-04 1.77-04 2.13-04
     6     1 4.98+13 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.21-05 1.22-05 1.22-05 1.28-05 1.34-05 1.46-05
     7     1 1.00-30 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.07-05 1.08-05 1.10-05 1.13-05
     8     1 9.54+14 5.42-05 5.42-05 5.42-05 5.42-05 5.42-05 5.42-05 5.42-05 5.43-05 5.43-05 5.45-05 5.49-05 5.86-05 6.34-05 7.52-05
     9     1 2.73+13 5.95-06 5.95-06 5.95-06 5.95-06 5.95-06 5.95-06 5.95-06 5.96-06 5.96-06 5.97-06 6.00-06 6.25-06 6.52-06 7.05-06
    10     1 1.00-30 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.07-06 5.08-06 5.08-06 5.15-06 5.22-06 5.35-06
    11     1 4.71+14 2.59-05 2.59-05 2.59-05 2.59-05 2.59-05 2.59-05 2.59-05 2.59-05 2.59-05 2.60-05 2.62-05 2.78-05 3.01-05 3.54-05
    12     1 1.51+13 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.19-06 3.20-06 3.21-06 3.34-06 3.48-06 3.76-06
    13     1 1.00-30 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.81-06 2.85-06 2.89-06 2.96-06
    14     1 2.66+14 1.44-05 1.44-05 1.44-05 1.44-05 1.44-05 1.44-05 1.44-05 1.44-05 1.44-05 1.44-05 1.45-05 1.55-05 1.67-05 1.96-05
    15     1 9.21+12 1.88-06 1.88-06 1.88-06 1.88-06 1.88-06 1.88-06 1.88-06 1.88-06 1.88-06 1.88-06 1.89-06 1.96-06 2.04-06 2.20-06
     3     2 2.47+12 7.92-02 7.95-02 8.00-02 8.05-02 8.14-02 8.28-02 8.42-02 8.69-02 9.15-02 1.00-01 1.11-01 1.43-01 1.58-01 1.79-01
     4     2 1.00-30 2.68-03 2.68-03 2.68-03 2.68-03 2.68-03 2.69-03 2.69-03 2.70-03 2.71-03 2.74-03 2.81-03 3.09-03 3.23-03 3.39-03
     5     2 6.79+14 2.89-03 2.89-03 2.90-03 2.90-03 2.91-03 2.92-03 2.93-03 2.96-03 3.02-03 3.19-03 3.58-03 6.32-03 8.58-03 1.25-02
     6     2 1.20+13 7.15-03 7.15-03 7.16-03 7.16-03 7.16-03 7.17-03 7.17-03 7.19-03 7.22-03 7.29-03 7.44-03 8.09-03 8.42-03 8.78-03
     7     2 1.00-30 5.48-04 5.49-04 5.49-04 5.49-04 5.49-04 5.49-04 5.50-04 5.50-04 5.52-04 5.56-04 5.64-04 6.03-04 6.25-04 6.49-04
     8     2 2.96+14 7.87-04 7.87-04 7.88-04 7.88-04 7.89-04 7.91-04 7.93-04 7.98-04 8.08-04 8.37-04 9.04-04 1.39-03 1.81-03 2.55-03
     9     2 1.81+12 1.25-03 1.25-03 1.25-03 1.25-03 1.25-03 1.25-03 1.25-03 1.25-03 1.25-03 1.26-03 1.27-03 1.31-03 1.34-03 1.36-03
    10     2 1.00-30 2.10-04 2.10-04 2.10-04 2.10-04 2.10-04 2.10-04 2.10-04 2.11-04 2.11-04 2.13-04 2.15-04 2.28-04 2.35-04 2.44-04
    11     2 1.51+14 3.33-04 3.33-04 3.33-04 3.34-04 3.34-04 3.35-04 3.35-04 3.37-04 3.41-04 3.51-04 3.74-04 5.49-04 7.03-04 9.74-04
    12     2 4.97+11 4.45-04 4.45-04 4.45-04 4.45-04 4.45-04 4.45-04 4.45-04 4.45-04 4.46-04 4.47-04 4.49-04 4.60-04 4.65-04 4.71-04
    13     2 1.00-30 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.05-04 1.06-04 1.07-04 1.13-04 1.17-04 1.21-04
    14     2 8.67+13 1.74-04 1.74-04 1.74-04 1.74-04 1.75-04 1.75-04 1.75-04 1.76-04 1.78-04 1.83-04 1.94-04 2.78-04 3.53-04 4.86-04
    15     2 1.91+11 2.14-04 2.14-04 2.14-04 2.14-04 2.14-04 2.14-04 2.14-04 2.14-04 2.14-04 2.15-04 2.16-04 2.19-04 2.21-04 2.23-04
     4     3 3.60+14 9.43-04 9.43-04 9.44-04 9.45-04 9.47-04 9.50-04 9.53-04 9.59-04 9.75-04 1.02-03 1.12-03 1.86-03 2.46-03 3.50-03
     5     3 4.16+12 1.02-02 1.02-02 1.02-02 1.02-02 1.02-02 1.02-02 1.02-02 1.02-02 1.03-02 1.04-02 1.06-02 1.16-02 1.20-02 1.25-02
     6     3 1.99+15 3.88-02 3.88-02 3.89-02 3.89-02 3.90-02 3.91-02 3.92-02 3.94-02 3.99-02 4.15-02 4.48-02 6.58-02 8.18-02 1.08-01
     7     3 1.40+14 2.15-04 2.15-04 2.15-04 2.15-04 2.15-04 2.16-04 2.16-04 2.17-04 2.19-04 2.24-04 2.37-04 3.34-04 4.18-04 5.66-04
     8     3 1.62+12 2.08-03 2.08-03 2.08-03 2.08-03 2.08-03 2.08-03 2.08-03 2.08-03 2.09-03 2.10-03 2.13-03 2.25-03 2.31-03 2.39-03
     9     3 6.28+14 7.77-03 7.77-03 7.78-03 7.78-03 7.79-03 7.80-03 7.81-03 7.84-03 7.91-03 8.09-03 8.48-03 1.11-02 1.32-02 1.68-02
    10     3 6.80+13 8.63-05 8.63-05 8.63-05 8.64-05 8.64-05 8.66-05 8.67-05 8.70-05 8.76-05 8.94-05 9.35-05 1.25-04 1.53-04 2.03-04
    11     3 7.89+11 7.98-04 7.98-04 7.98-04 7.98-04 7.98-04 7.99-04 7.99-04 8.00-04 8.01-04 8.05-04 8.13-04 8.52-04 8.73-04 8.97-04
    12     3 2.84+14 2.95-03 2.95-03 2.95-03 2.95-03 2.95-03 2.96-03 2.96-03 2.97-03 2.99-03 3.04-03 3.17-03 4.00-03 4.68-03 5.82-03
    13     3 3.84+13 4.41-05 4.42-05 4.42-05 4.42-05 4.42-05 4.43-05 4.43-05 4.45-05 4.47-05 4.56-05 4.75-05 6.20-05 7.51-05 9.85-05
    14     3 4.44+11 3.98-04 3.98-04 3.98-04 3.98-04 3.99-04 3.99-04 3.99-04 3.99-04 4.00-04 4.02-04 4.05-04 4.23-04 4.32-04 4.43-04
    15     3 1.54+14 1.46-03 1.46-03 1.46-03 1.46-03 1.46-03 1.46-03 1.47-03 1.47-03 1.48-03 1.50-03 1.56-03 1.93-03 2.24-03 2.77-03
     5     4 3.86+11 4.49-01 4.54-01 4.65-01 4.75-01 4.90-01 5.11-01 5.30-01 5.60-01 6.06-01 6.80-01 7.63-01 9.81-01 1.08+00 1.22+00
     6     4 3.10+07 3.09-02 3.11-02 3.14-02 3.17-02 3.21-02 3.27-02 3.31-02 3.37-02 3.43-02 3.51-02 3.56-02 3.61-02 3.62-02 3.63-02
     7     4 1.00-30 1.01-02 1.01-02 1.01-02 1.01-02 1.02-02 1.02-02 1.03-02 1.04-02 1.06-02 1.11-02 1.17-02 1.36-02 1.42-02 1.48-02
     8     4 8.28+13 4.82-03 4.84-03 4.86-03 4.89-03 4.93-03 5.02-03 5.11-03 5.32-03 5.78-03 7.07-03 9.64-03 2.28-02 3.15-02 4.54-02
     9     4 7.98+11 1.38-02 1.38-02 1.38-02 1.39-02 1.39-02 1.40-02 1.41-02 1.42-02 1.46-02 1.53-02 1.64-02 1.96-02 2.07-02 2.17-02
    10     4 1.00-30 2.05-03 2.05-03 2.05-03 2.05-03 2.06-03 2.06-03 2.07-03 2.08-03 2.10-03 2.16-03 2.25-03 2.53-03 2.63-03 2.72-03
    11     4 4.61+13 1.41-03 1.41-03 1.42-03 1.43-03 1.43-03 1.45-03 1.46-03 1.50-03 1.58-03 1.80-03 2.25-03 4.69-03 6.35-03 9.00-03
    12     4 2.99+11 3.42-03 3.42-03 3.43-03 3.43-03 3.44-03 3.44-03 3.45-03 3.47-03 3.51-03 3.60-03 3.74-03 4.16-03 4.31-03 4.45-03
    13     4 1.00-30 7.92-04 7.92-04 7.93-04 7.93-04 7.94-04 7.96-04 7.97-04 8.01-04 8.08-04 8.26-04 8.55-04 9.48-04 9.83-04 1.02-03
    14     4 2.72+13 6.29-04 6.30-04 6.32-04 6.34-04 6.36-04 6.41-04 6.47-04 6.59-04 6.87-04 7.65-04 9.26-04 1.82-03 2.44-03 3.44-03
    15     4 1.38+11 1.40-03 1.40-03 1.40-03 1.40-03 1.40-03 1.40-03 1.41-03 1.41-03 1.42-03 1.45-03 1.49-03 1.61-03 1.66-03 1.70-03
