W +73        74        74 651338011.5(1S)
    1  1s1               (0)0(     0.5)            0.0000   {X}
    2  2s1               (0)0(     0.5)    483723982.0000   {X}
    3  2p1               (0)0(     2.5)    492657692.3000   {X}
    4  3s1               (0)0(     0.5)    577427311.4000   {X}
    5  3p1               (0)0(     2.5)    580082810.5000   {X}
    6  3d1               (0)0(     4.5)    581989912.4000   {X}
    7  4s1               (0)0(     0.5)    609689198.9000   {X}
    8  4p1               (0)0(     2.5)    610796371.1000   {X}
    9  4d1               (0)0(     4.5)    611602347.4000   {X}
   10  5s1               (0)0(     0.5)    624387429.5000   {X}
   11  5p1               (0)0(     2.5)    624948768.5000   {X}
   12  5d1               (0)0(     4.5)    625360623.4000   {X}
   13  6s1               (0)0(     0.5)    632275771.7000   {X}
   14  6p1               (0)0(     2.5)    632598289.5000   {X}
   15  6d1               (0)0(     4.5)    632836024.3000   {X}
   -1
 74.0    3           1.10+06 1.64+06 2.74+06 3.83+06 5.48+06 8.21+06 1.10+07 1.64+07 2.74+07 5.48+07 1.10+08 5.48+08 1.10+09 2.74+09
     2     1 1.00-30 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.57-04 1.60-04 1.64-04 1.70-04
     3     1 2.07+16 7.75-04 7.75-04 7.75-04 7.76-04 7.76-04 7.76-04 7.76-04 7.77-04 7.78-04 7.82-04 7.90-04 8.72-04 9.75-04 1.22-03
     4     1 1.00-30 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.93-05 2.97-05 3.02-05 3.11-05
     5     1 5.05+15 1.48-04 1.48-04 1.48-04 1.48-04 1.48-04 1.48-04 1.48-04 1.48-04 1.49-04 1.49-04 1.50-04 1.62-04 1.76-04 2.11-04
     6     1 1.08+14 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.23-05 1.24-05 1.24-05 1.30-05 1.36-05 1.48-05
     7     1 1.00-30 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.07-05 1.08-05 1.11-05
     8     1 1.98+15 5.37-05 5.37-05 5.37-05 5.37-05 5.37-05 5.37-05 5.37-05 5.38-05 5.38-05 5.40-05 5.43-05 5.81-05 6.29-05 7.45-05
     9     1 5.87+13 6.03-06 6.03-06 6.03-06 6.03-06 6.03-06 6.03-06 6.03-06 6.04-06 6.04-06 6.05-06 6.08-06 6.34-06 6.61-06 7.16-06
    10     1 1.00-30 4.99-06 4.99-06 4.99-06 4.99-06 4.99-06 4.99-06 4.99-06 4.99-06 4.99-06 5.00-06 5.00-06 5.07-06 5.14-06 5.27-06
    11     1 9.73+14 2.56-05 2.56-05 2.56-05 2.56-05 2.56-05 2.56-05 2.56-05 2.56-05 2.57-05 2.57-05 2.59-05 2.76-05 2.98-05 3.51-05
    12     1 3.29+13 3.23-06 3.23-06 3.23-06 3.23-06 3.23-06 3.23-06 3.23-06 3.23-06 3.23-06 3.24-06 3.25-06 3.38-06 3.52-06 3.80-06
    13     1 1.00-30 2.77-06 2.77-06 2.77-06 2.77-06 2.77-06 2.77-06 2.77-06 2.77-06 2.78-06 2.78-06 2.78-06 2.82-06 2.85-06 2.92-06
    14     1 5.51+14 1.42-05 1.42-05 1.42-05 1.42-05 1.42-05 1.42-05 1.42-05 1.42-05 1.42-05 1.43-05 1.44-05 1.53-05 1.65-05 1.94-05
    15     1 1.97+13 1.90-06 1.90-06 1.90-06 1.90-06 1.90-06 1.90-06 1.90-06 1.90-06 1.91-06 1.91-06 1.92-06 1.99-06 2.07-06 2.23-06
     3     2 2.10+12 3.92-02 3.93-02 3.96-02 3.99-02 4.03-02 4.11-02 4.19-02 4.33-02 4.57-02 5.01-02 5.56-02 7.13-02 7.89-02 8.92-02
     4     2 1.00-30 1.32-03 1.32-03 1.32-03 1.32-03 1.32-03 1.33-03 1.33-03 1.33-03 1.34-03 1.35-03 1.39-03 1.53-03 1.60-03 1.67-03
     5     2 7.23+14 1.47-03 1.47-03 1.47-03 1.47-03 1.48-03 1.48-03 1.49-03 1.50-03 1.53-03 1.62-03 1.82-03 3.21-03 4.35-03 6.31-03
     6     2 1.27+13 3.54-03 3.54-03 3.54-03 3.54-03 3.54-03 3.55-03 3.55-03 3.55-03 3.57-03 3.61-03 3.68-03 4.00-03 4.16-03 4.34-03
     7     2 1.00-30 2.70-04 2.70-04 2.70-04 2.70-04 2.70-04 2.70-04 2.70-04 2.71-04 2.72-04 2.74-04 2.78-04 2.97-04 3.08-04 3.20-04
     8     2 3.13+14 3.96-04 3.96-04 3.96-04 3.96-04 3.97-04 3.98-04 3.99-04 4.01-04 4.06-04 4.21-04 4.54-04 6.98-04 9.07-04 1.27-03
     9     2 1.86+12 6.09-04 6.09-04 6.09-04 6.09-04 6.09-04 6.10-04 6.10-04 6.10-04 6.11-04 6.14-04 6.18-04 6.41-04 6.52-04 6.65-04
    10     2 1.00-30 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.05-04 1.06-04 1.13-04 1.16-04 1.20-04
    11     2 1.59+14 1.67-04 1.67-04 1.67-04 1.67-04 1.68-04 1.68-04 1.68-04 1.69-04 1.71-04 1.76-04 1.88-04 2.75-04 3.52-04 4.86-04
    12     2 4.99+11 2.16-04 2.16-04 2.16-04 2.16-04 2.17-04 2.17-04 2.17-04 2.17-04 2.17-04 2.18-04 2.19-04 2.24-04 2.26-04 2.29-04
    13     2 1.00-30 5.16-05 5.16-05 5.16-05 5.16-05 5.17-05 5.17-05 5.17-05 5.18-05 5.19-05 5.21-05 5.27-05 5.57-05 5.74-05 5.94-05
    14     2 9.14+13 8.73-05 8.73-05 8.73-05 8.74-05 8.75-05 8.77-05 8.78-05 8.82-05 8.91-05 9.15-05 9.70-05 1.39-04 1.76-04 2.42-04
    15     2 1.88+11 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.05-04 1.06-04 1.07-04 1.08-04
     4     3 3.72+14 4.52-04 4.52-04 4.52-04 4.53-04 4.54-04 4.55-04 4.57-04 4.60-04 4.67-04 4.88-04 5.37-04 8.83-04 1.17-03 1.66-03
     5     3 4.50+12 4.97-03 4.97-03 4.97-03 4.97-03 4.97-03 4.98-03 4.98-03 4.99-03 5.02-03 5.08-03 5.19-03 5.66-03 5.89-03 6.13-03
     6     3 2.10+15 1.90-02 1.90-02 1.90-02 1.90-02 1.90-02 1.91-02 1.91-02 1.93-02 1.95-02 2.03-02 2.19-02 3.22-02 4.00-02 5.29-02
     7     3 1.45+14 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.05-04 1.05-04 1.08-04 1.14-04 1.60-04 2.01-04 2.71-04
     8     3 1.75+12 1.01-03 1.01-03 1.01-03 1.01-03 1.01-03 1.01-03 1.01-03 1.02-03 1.02-03 1.02-03 1.04-03 1.10-03 1.13-03 1.16-03
     9     3 6.60+14 3.79-03 3.79-03 3.79-03 3.79-03 3.80-03 3.80-03 3.81-03 3.82-03 3.85-03 3.94-03 4.13-03 5.42-03 6.45-03 8.16-03
    10     3 7.09+13 4.17-05 4.17-05 4.17-05 4.18-05 4.18-05 4.19-05 4.19-05 4.21-05 4.24-05 4.32-05 4.52-05 6.03-05 7.37-05 9.77-05
    11     3 8.52+11 3.89-04 3.89-04 3.89-04 3.89-04 3.89-04 3.89-04 3.89-04 3.90-04 3.90-04 3.92-04 3.96-04 4.15-04 4.25-04 4.37-04
    12     3 2.98+14 1.43-03 1.44-03 1.44-03 1.44-03 1.44-03 1.44-03 1.44-03 1.45-03 1.46-03 1.48-03 1.54-03 1.95-03 2.28-03 2.83-03
    13     3 3.97+13 2.13-05 2.14-05 2.14-05 2.14-05 2.14-05 2.14-05 2.14-05 2.15-05 2.16-05 2.20-05 2.29-05 2.99-05 3.61-05 4.73-05
    14     3 4.78+11 1.94-04 1.94-04 1.94-04 1.94-04 1.94-04 1.94-04 1.94-04 1.94-04 1.95-04 1.96-04 1.98-04 2.06-04 2.11-04 2.16-04
    15     3 1.61+14 7.11-04 7.11-04 7.11-04 7.12-04 7.12-04 7.13-04 7.14-04 7.16-04 7.20-04 7.32-04 7.59-04 9.42-04 1.09-03 1.35-03
     5     4 3.37+11 2.23-01 2.25-01 2.31-01 2.36-01 2.44-01 2.55-01 2.64-01 2.80-01 3.03-01 3.39-01 3.80-01 4.87-01 5.35-01 6.01-01
     6     4 2.69+07 1.49-02 1.49-02 1.51-02 1.53-02 1.55-02 1.58-02 1.60-02 1.63-02 1.66-02 1.70-02 1.73-02 1.75-02 1.76-02 1.76-02
     7     4 1.00-30 4.93-03 4.93-03 4.94-03 4.95-03 4.96-03 4.99-03 5.01-03 5.06-03 5.17-03 5.40-03 5.74-03 6.64-03 6.94-03 7.23-03
     8     4 8.86+13 2.43-03 2.43-03 2.45-03 2.46-03 2.48-03 2.53-03 2.57-03 2.68-03 2.92-03 3.57-03 4.88-03 1.15-02 1.59-02 2.29-02
     9     4 8.56+11 6.87-03 6.87-03 6.89-03 6.90-03 6.92-03 6.96-03 7.00-03 7.08-03 7.25-03 7.63-03 8.19-03 9.75-03 1.03-02 1.08-02
    10     4 1.00-30 1.00-03 1.00-03 1.00-03 1.00-03 1.00-03 1.01-03 1.01-03 1.02-03 1.03-03 1.06-03 1.10-03 1.24-03 1.29-03 1.33-03
    11     4 4.92+13 7.08-04 7.09-04 7.11-04 7.14-04 7.18-04 7.25-04 7.33-04 7.51-04 7.91-04 9.02-04 1.13-03 2.35-03 3.18-03 4.50-03
    12     4 3.17+11 1.69-03 1.69-03 1.69-03 1.69-03 1.69-03 1.70-03 1.70-03 1.71-03 1.73-03 1.78-03 1.84-03 2.05-03 2.12-03 2.19-03
    13     4 1.00-30 3.88-04 3.88-04 3.88-04 3.89-04 3.89-04 3.90-04 3.91-04 3.93-04 3.96-04 4.05-04 4.19-04 4.64-04 4.81-04 4.98-04
    14     4 2.89+13 3.14-04 3.15-04 3.16-04 3.17-04 3.18-04 3.21-04 3.23-04 3.30-04 3.43-04 3.82-04 4.63-04 9.09-04 1.22-03 1.71-03
    15     4 1.45+11 6.87-04 6.87-04 6.87-04 6.88-04 6.88-04 6.89-04 6.91-04 6.93-04 6.98-04 7.11-04 7.31-04 7.90-04 8.12-04 8.32-04
     6     5 1.02+11 3.36-01 3.42-01 3.53-01 3.64-01 3.78-01 3.97-01 4.13-01 4.38-01 4.74-01 5.28-01 5.87-01 7.35-01 8.02-01 8.93-01
     7     5 9.59+13 1.88-03 1.89-03 1.89-03 1.90-03 1.91-03 1.93-03 1.96-03 2.02-03 2.14-03 2.50-03 3.20-03 6.70-03 9.02-03 1.27-02
     8     5 4.79+11 1.91-02 1.91-02 1.91-02 1.92-02 1.92-02 1.93-02 1.94-02 1.96-02 2.00-02 2.09-02 2.22-02 2.56-02 2.67-02 2.77-02
     9     5 2.17+14 1.85-02 1.86-02 1.87-02 1.88-02 1.89-02 1.92-02 1.96-02 2.03-02 2.20-02 2.62-02 3.42-02 7.08-02 9.37-02 1.29-01
    10     5 4.52+13 4.47-04 4.48-04 4.48-04 4.49-04 4.51-04 4.53-04 4.56-04 4.63-04 4.77-04 5.18-04 6.01-04 1.06-03 1.37-03 1.87-03
    11     5 2.54+11 3.97-03 3.97-03 3.98-03 3.98-03 3.99-03 4.00-03 4.01-03 4.03-03 4.07-03 4.18-03 4.35-03 4.83-03 5.00-03 5.17-03
    12     5 1.07+14 5.07-03 5.08-03 5.09-03 5.11-03 5.13-03 5.18-03 5.23-03 5.34-03 5.58-03 6.21-03 7.43-03 1.34-02 1.71-02 2.30-02
    13     5 2.49+13 1.84-04 1.85-04 1.85-04 1.85-04 1.86-04 1.86-04 1.87-04 1.89-04 1.94-04 2.06-04 2.31-04 3.78-04 4.81-04 6.47-04
    14     5 1.47+11 1.55-03 1.55-03 1.55-03 1.55-03 1.55-03 1.55-03 1.56-03 1.56-03 1.58-03 1.61-03 1.66-03 1.82-03 1.88-03 1.94-03
    15     5 5.94+13 2.18-03 2.18-03 2.19-03 2.19-03 2.20-03 2.22-03 2.23-03 2.27-03 2.34-03 2.55-03 2.96-03 5.01-03 6.33-03 8.38-03
     7     6 2.14+11 9.29-04 9.30-04 9.31-04 9.33-04 9.36-04 9.41-04 9.47-04 9.58-04 9.80-04 1.03-03 1.09-03 1.27-03 1.32-03 1.37-03
     8     6 1.76+13 2.63-03 2.63-03 2.63-03 2.64-03 2.64-03 2.65-03 2.67-03 2.69-03 2.76-03 2.95-03 3.33-03 5.31-03 6.65-03 8.79-03
     9     6 2.03+11 2.84-02 2.85-02 2.85-02 2.86-02 2.86-02 2.87-02 2.89-02 2.91-02 2.96-02 3.06-02 3.21-02 3.58-02 3.70-02 3.81-02
    10     6 1.22+11 2.23-04 2.23-04 2.23-04 2.24-04 2.24-04 2.24-04 2.25-04 2.26-04 2.28-04 2.33-04 2.41-04 2.65-04 2.73-04 2.80-04
    11     6 7.49+12 6.59-04 6.59-04 6.59-04 6.60-04 6.61-04 6.62-04 6.64-04 6.67-04 6.74-04 6.93-04 7.33-04 9.64-04 1.13-03 1.39-03
    12     6 9.24+10 5.62-03 5.62-03 5.63-03 5.63-03 5.64-03 5.65-03 5.66-03 5.68-03 5.73-03 5.84-03 6.00-03 6.46-03 6.62-03 6.77-03
    13     6 7.35+10 9.21-05 9.21-05 9.22-05 9.22-05 9.23-05 9.24-05 9.25-05 9.28-05 9.35-05 9.53-05 9.82-05 1.07-04 1.10-04 1.12-04
    14     6 3.92+12 2.77-04 2.77-04 2.77-04 2.77-04 2.77-04 2.78-04 2.78-04 2.79-04 2.81-04 2.86-04 2.97-04 3.67-04 4.18-04 5.02-04
    15     6 4.95+10 2.14-03 2.14-03 2.14-03 2.15-03 2.15-03 2.15-03 2.15-03 2.16-03 2.17-03 2.20-03 2.25-03 2.39-03 2.44-03 2.49-03
     8     7 8.28+10 7.21-01 7.41-01 7.78-01 8.10-01 8.51-01 9.06-01 9.50-01 1.02+00 1.11+00 1.26+00 1.41+00 1.79+00 1.95+00 2.18+00
     9     7 5.00+06 7.03-02 7.08-02 7.16-02 7.22-02 7.28-02 7.34-02 7.38-02 7.44-02 7.50-02 7.55-02 7.59-02 7.64-02 7.64-02 7.65-02
    10     7 1.00-30 1.25-02 1.25-02 1.26-02 1.27-02 1.28-02 1.30-02 1.32-02 1.35-02 1.42-02 1.54-02 1.68-02 1.97-02 2.04-02 2.11-02
    11     7 1.99+13 4.48-03 4.50-03 4.55-03 4.61-03 4.70-03 4.88-03 5.08-03 5.54-03 6.56-03 9.19-03 1.39-02 3.35-02 4.53-02 6.28-02
    12     7 1.14+11 1.11-02 1.12-02 1.12-02 1.13-02 1.14-02 1.17-02 1.19-02 1.24-02 1.32-02 1.48-02 1.66-02 2.05-02 2.16-02 2.26-02
    13     7 1.00-30 2.50-03 2.51-03 2.51-03 2.52-03 2.53-03 2.55-03 2.57-03 2.62-03 2.70-03 2.85-03 3.05-03 3.49-03 3.62-03 3.73-03
    14     7 1.26+13 1.23-03 1.23-03 1.24-03 1.25-03 1.27-03 1.30-03 1.33-03 1.41-03 1.58-03 2.02-03 2.84-03 6.41-03 8.60-03 1.19-02
    15     7 6.12+10 3.12-03 3.12-03 3.13-03 3.14-03 3.16-03 3.19-03 3.22-03 3.28-03 3.40-03 3.62-03 3.90-03 4.53-03 4.72-03 4.88-03
     9     8 3.27+10 1.38+00 1.43+00 1.51+00 1.58+00 1.66+00 1.77+00 1.85+00 1.98+00 2.15+00 2.41+00 2.68+00 3.32+00 3.62+00 4.04+00
    10     8 3.16+13 4.91-03 4.93-03 4.97-03 5.02-03 5.10-03 5.26-03 5.44-03 5.83-03 6.70-03 8.90-03 1.27-02 2.81-02 3.72-02 5.05-02
    11     8 8.40+10 4.76-02 4.77-02 4.80-02 4.83-02 4.87-02 4.95-02 5.03-02 5.19-02 5.45-02 5.93-02 6.47-02 7.56-02 7.85-02 8.11-02
    12     8 4.34+13 1.91-02 1.92-02 1.96-02 2.00-02 2.06-02 2.18-02 2.31-02 2.60-02 3.19-02 4.61-02 6.95-02 1.60-01 2.12-01 2.87-01
    13     8 1.68+13 1.16-03 1.16-03 1.17-03 1.17-03 1.18-03 1.20-03 1.22-03 1.26-03 1.35-03 1.60-03 2.05-03 4.01-03 5.20-03 6.99-03
    14     8 5.33+10 9.90-03 9.91-03 9.94-03 9.97-03 1.00-02 1.01-02 1.02-02 1.03-02 1.07-02 1.13-02 1.20-02 1.37-02 1.42-02 1.46-02
    15     8 2.62+13 5.84-03 5.87-03 5.92-03 5.98-03 6.08-03 6.27-03 6.47-03 6.91-03 7.84-03 1.01-02 1.40-02 2.95-02 3.85-02 5.17-02
    10     9 6.41+10 3.70-03 3.71-03 3.73-03 3.76-03 3.80-03 3.87-03 3.94-03 4.08-03 4.32-03 4.74-03 5.21-03 6.13-03 6.39-03 6.60-03
    11     9 8.81+12 9.04-03 9.05-03 9.07-03 9.10-03 9.15-03 9.25-03 9.37-03 9.64-03 1.03-02 1.20-02 1.50-02 2.81-02 3.60-02 4.76-02
    12     9 4.58+10 7.84-02 7.86-02 7.90-02 7.94-02 8.01-02 8.13-02 8.24-02 8.46-02 8.83-02 9.49-02 1.02-01 1.17-01 1.21-01 1.24-01
    13     9 4.21+10 8.62-04 8.63-04 8.65-04 8.68-04 8.72-04 8.80-04 8.87-04 9.02-04 9.27-04 9.74-04 1.03-03 1.16-03 1.19-03 1.22-03
    14     9 4.34+12 2.19-03 2.19-03 2.19-03 2.20-03 2.20-03 2.21-03 2.22-03 2.25-03 2.31-03 2.49-03 2.82-03 4.35-03 5.32-03 6.77-03
    15     9 2.66+10 1.59-02 1.59-02 1.60-02 1.60-02 1.61-02 1.62-02 1.63-02 1.65-02 1.69-02 1.77-02 1.87-02 2.08-02 2.14-02 2.19-02
    11    10 2.73+10 1.79+00 1.87+00 2.01+00 2.13+00 2.26+00 2.43+00 2.56+00 2.76+00 3.03+00 3.42+00 3.82+00 4.79+00 5.24+00 5.85+00
    12    10 1.17+06 1.99-01 2.00-01 2.02-01 2.03-01 2.04-01 2.05-01 2.06-01 2.07-01 2.08-01 2.09-01 2.10-01 2.11-01 2.11-01 2.11-01
    13    10 1.00-30 2.53-02 2.55-02 2.58-02 2.62-02 2.68-02 2.77-02 2.86-02 3.01-02 3.25-02 3.63-02 4.00-02 4.63-02 4.78-02 4.91-02
    14    10 6.23+12 8.84-03 8.89-03 9.01-03 9.17-03 9.44-03 1.00-02 1.06-02 1.21-02 1.52-02 2.28-02 3.49-02 8.06-02 1.06-01 1.43-01
    15    10 2.34+10 1.66-02 1.67-02 1.71-02 1.74-02 1.80-02 1.88-02 1.97-02 2.12-02 2.36-02 2.76-02 3.18-02 3.91-02 4.10-02 4.25-02
    12    11 1.19+10 3.76+00 3.95+00 4.26+00 4.49+00 4.77+00 5.11+00 5.37+00 5.75+00 6.27+00 7.00+00 7.75+00 9.57+00 1.04+01 1.16+01
    13    11 1.26+13 1.02-02 1.03-02 1.05-02 1.07-02 1.10-02 1.17-02 1.25-02 1.43-02 1.79-02 2.62-02 3.88-02 8.47-02 1.10-01 1.45-01
    14    11 2.06+10 9.53-02 9.59-02 9.74-02 9.89-02 1.01-01 1.05-01 1.08-01 1.14-01 1.23-01 1.38-01 1.53-01 1.77-01 1.83-01 1.88-01
    15    11 1.26+13 2.23-02 2.27-02 2.36-02 2.47-02 2.65-02 2.99-02 3.36-02 4.15-02 5.73-02 9.24-02 1.45-01 3.32-01 4.32-01 5.73-01
    13    12 2.05+10 9.40-03 9.48-03 9.64-03 9.81-03 1.01-02 1.05-02 1.09-02 1.16-02 1.26-02 1.42-02 1.58-02 1.85-02 1.92-02 1.97-02
    14    12 4.29+12 2.11-02 2.12-02 2.13-02 2.14-02 2.17-02 2.22-02 2.29-02 2.43-02 2.76-02 3.55-02 4.79-02 9.48-02 1.21-01 1.57-01
    15    12 1.23+10 1.59-01 1.60-01 1.63-01 1.65-01 1.69-01 1.74-01 1.79-01 1.88-01 2.02-01 2.24-01 2.45-01 2.81-01 2.89-01 2.96-01
    14    13 1.10+10 3.82+00 4.07+00 4.44+00 4.73+00 5.06+00 5.47+00 5.78+00 6.23+00 6.84+00 7.68+00 8.55+00 1.07+01 1.17+01 1.30+01
    15    13 3.45+05 4.40-01 4.43-01 4.46-01 4.49-01 4.51-01 4.53-01 4.55-01 4.57-01 4.59-01 4.61-01 4.62-01 4.64-01 4.64-01 4.64-01
    15    14 5.04+09 8.38+00 8.93+00 9.73+00 1.03+01 1.10+01 1.18+01 1.24+01 1.33+01 1.45+01 1.61+01 1.78+01 2.19+01 2.39+01 2.65+01
  -1
  -1  -1
c-------------------------------------------------------------------------------
c comments from original adf04 file
C-------------------------------------------------------------------------------
C
C   Atomic Structure from Cowan Atomic Structure Program
C
C-------------------------------------------------------------------------------
C
C   Code     : ADAS8XX_CREATE_CA_ADF04
C   Producer : Stuart Henderson
C   Date     : 22/05/17
C-------------------------------------------------------------------------------
c-------------------------------------------------------------------------------
c
c  Conversion of an adf04 dataset from type 1 to type 3
c
c  Parameter: Cowan ion threshold shift = F
c
c
c  Producer : Stuart Henderson
c  Date     : 16-08-2017
c
c-------------------------------------------------------------------------------
c
c  Separate iz1 from ionisation potential.
c
c  Martin O'Mullane
c  18-08-2019
c 
c-------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 19-May-2020.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
