W +64        74        65 125550002.0(1S)
    1  2s2 2p6           (0)0(     0.0)            0.0000   {X}
    2  2s2 2p5 3s1       (0)0(     5.5)     70547275.2000   {X}
    3  2s2 2p5 3p1       (0)0(    17.5)     73834092.7000   {X}
    4  2s2 2p5 3d1       (0)0(    29.5)     76601282.3000   {X}
    5  2s1 2p6 3s1       (0)0(     1.5)     82128418.9000   {X}
    6  2s1 2p6 3p1       (0)0(     5.5)     85370320.9000   {X}
    7  2s1 2p6 3d1       (0)0(     9.5)     88132704.0000   {X}
    8  2s2 2p5 4s1       (0)0(     5.5)     97347923.3000   {X}
    9  2s2 2p5 4p1       (0)0(    17.5)     98697186.9000   {X}
   10  2s2 2p5 4d1       (0)0(    29.5)     99804787.0000   {X}
   11  2s2 2p5 4f1       (0)0(    41.5)    100284920.4000   {X}
   12  2s1 2p6 4s1       (0)0(     1.5)    108884491.8000   {X}
   13  2s2 2p5 5s1       (0)0(     5.5)    109303808.8000   {X}
   14  2s2 2p5 5p1       (0)0(    17.5)    109981996.0000   {X}
   15  2s1 2p6 4p1       (0)0(     5.5)    110220751.4000   {X}
   16  2s2 2p5 5d1       (0)0(    29.5)    110535971.7000   {X}
   17  2s2 2p5 5f1       (0)0(    41.5)    110777722.9000   {X}
   18  2s1 2p6 4d1       (0)0(     9.5)    111326376.2000   {X}
   19  2s1 2p6 5s1       (0)0(     1.5)    120828075.7000   {X}
   20  2s1 2p6 5p1       (0)0(     5.5)    121500710.2000   {X}
   21  2s1 2p6 5d1       (0)0(     9.5)    122053720.1000   {X}
   -1
 65.0    3           4.22+05 8.45+05 2.11+06 4.22+06 8.45+06 2.11+07 4.22+07 8.45+07 2.11+08 4.22+08 8.45+08 2.11+09 4.22+09 8.45+09
     2     1 4.94+13 5.92-04 5.93-04 5.94-04 5.95-04 5.99-04 6.13-04 6.42-04 7.08-04 9.06-04 1.18-03 1.57-03 2.25-03 2.87-03 3.55-03
     3     1 4.30+11 5.67-03 5.67-03 5.67-03 5.68-03 5.69-03 5.72-03 5.78-03 5.90-03 6.17-03 6.42-03 6.68-03 6.96-03 7.11-03 7.22-03
     4     1 2.40+14 2.02-02 2.02-02 2.03-02 2.03-02 2.04-02 2.07-02 2.15-02 2.30-02 2.75-02 3.34-02 4.16-02 5.53-02 6.75-02 8.08-02
     8     1 1.87+13 1.29-04 1.29-04 1.29-04 1.30-04 1.30-04 1.32-04 1.35-04 1.43-04 1.67-04 2.03-04 2.56-04 3.50-04 4.37-04 5.34-04
     9     1 1.69+11 1.17-03 1.17-03 1.17-03 1.17-03 1.17-03 1.17-03 1.18-03 1.20-03 1.23-03 1.26-03 1.30-03 1.34-03 1.37-03 1.39-03
    10     1 7.93+13 4.32-03 4.32-03 4.33-03 4.33-03 4.35-03 4.39-03 4.49-03 4.70-03 5.31-03 6.15-03 7.35-03 9.38-03 1.12-02 1.32-02
    11     1 8.50+11 7.48-04 7.48-04 7.48-04 7.49-04 7.51-04 7.57-04 7.68-04 7.92-04 8.53-04 9.19-04 9.94-04 1.08-03 1.14-03 1.18-03
    13     1 9.02+12 5.11-05 5.11-05 5.12-05 5.13-05 5.14-05 5.19-05 5.30-05 5.55-05 6.34-05 7.50-05 9.26-05 1.24-04 1.54-04 1.86-04
    14     1 8.30+10 4.52-04 4.52-04 4.52-04 4.52-04 4.53-04 4.54-04 4.56-04 4.60-04 4.71-04 4.82-04 4.95-04 5.09-04 5.17-04 5.23-04
    16     1 3.65+13 1.68-03 1.68-03 1.68-03 1.68-03 1.68-03 1.70-03 1.73-03 1.80-03 2.00-03 2.27-03 2.67-03 3.35-03 3.96-03 4.63-03
    17     1 5.86+11 4.10-04 4.10-04 4.10-04 4.11-04 4.11-04 4.14-04 4.19-04 4.30-04 4.58-04 4.90-04 5.26-04 5.71-04 5.97-04 6.16-04
     5     1 1.00-30 1.43-03 1.43-03 1.43-03 1.43-03 1.43-03 1.44-03 1.46-03 1.49-03 1.56-03 1.63-03 1.71-03 1.79-03 1.84-03 1.87-03
     6     1 2.42+14 1.35-03 1.35-03 1.35-03 1.36-03 1.37-03 1.40-03 1.47-03 1.63-03 2.12-03 2.82-03 3.84-03 5.66-03 7.33-03 9.18-03
     7     1 4.37+12 3.55-03 3.55-03 3.55-03 3.55-03 3.56-03 3.58-03 3.61-03 3.68-03 3.83-03 4.00-03 4.17-03 4.37-03 4.48-03 4.56-03
    12     1 1.00-30 2.96-04 2.96-04 2.96-04 2.96-04 2.97-04 2.98-04 3.00-04 3.04-04 3.13-04 3.24-04 3.36-04 3.50-04 3.58-04 3.64-04
    15     1 1.06+14 3.79-04 3.79-04 3.79-04 3.80-04 3.82-04 3.88-04 4.01-04 4.30-04 5.21-04 6.55-04 8.58-04 1.22-03 1.56-03 1.93-03
    18     1 8.65+11 6.98-04 6.98-04 6.98-04 6.98-04 6.99-04 7.00-04 7.03-04 7.09-04 7.24-04 7.39-04 7.56-04 7.76-04 7.87-04 7.95-04
    19     1 1.00-30 1.14-04 1.14-04 1.14-04 1.14-04 1.14-04 1.15-04 1.15-04 1.17-04 1.20-04 1.23-04 1.27-04 1.32-04 1.35-04 1.37-04
    20     1 5.43+13 1.62-04 1.62-04 1.63-04 1.63-04 1.64-04 1.66-04 1.71-04 1.81-04 2.15-04 2.64-04 3.40-04 4.77-04 6.05-04 7.48-04
    21     1 2.90+11 2.60-04 2.60-04 2.60-04 2.60-04 2.60-04 2.61-04 2.62-04 2.63-04 2.67-04 2.71-04 2.75-04 2.81-04 2.83-04 2.85-04
