W +65        74        66 128210002.4(1S)
    1  2s2 2p5           (0)0(     2.5)            0.0000   {X}
    2  2s1 2p6           (0)0(     0.5)     11513589.4000   {X}
    3  2s2 2p4 3s1       (0)0(    14.5)     71961426.3000   {X}
    4  2s2 2p4 3p1       (0)0(    44.5)     75206861.9000   {X}
    5  2s2 2p4 3d1       (0)0(    74.5)     77857510.5000   {X}
    6  2s1 2p5 3s1       (0)0(    11.5)     83189391.6000   {X}
    7  2s1 2p5 3p1       (0)0(    35.5)     86389714.2000   {X}
    8  2s1 2p5 3d1       (0)0(    59.5)     89035753.9000   {X}
    9  2s2 2p4 4s1       (0)0(    14.5)     99328143.2000   {X}
   10  2s2 2p4 4p1       (0)0(    44.5)    100663711.5000   {X}
   11  2s2 2p4 4d1       (0)0(    74.5)    101731027.0000   {X}
   12  2s2 2p4 4f1       (0)0(   104.0)    102191901.6000   {X}
   13  2s1 2p5 4s1       (0)0(    11.5)    110510556.5000   {X}
   14  2s2 2p4 5s1       (0)0(    14.5)    111572088.9000   {X}
   15  2s1 2p5 4p1       (0)0(    35.5)    111833186.8000   {X}
   16  2s2 2p4 5p1       (0)0(    44.5)    112243088.4000   {X}
   17  2s2 2p4 5d1       (0)0(    74.5)    112778233.1000   {X}
   18  2s1 2p5 4d1       (0)0(    59.5)    112898516.1000   {X}
   19  2s2 2p4 5f1       (0)0(   104.0)    113010514.0000   {X}
   20  2s1 2p5 5s1       (0)0(    11.5)    122742003.2000   {X}
   21  2s1 2p5 5p1       (0)0(    35.5)    123407450.0000   {X}
   22  2s1 2p5 5d1       (0)0(    59.5)    123941596.1000   {X}
   -1
 66.0    3           4.36+05 8.71+05 2.18+06 4.36+06 8.71+06 2.18+07 4.36+07 8.71+07 2.18+08 4.36+08 8.71+08 2.18+09 4.36+09 8.71+09
     3     1 1.02+14 2.88-03 2.88-03 2.89-03 2.89-03 2.91-03 2.98-03 3.12-03 3.44-03 4.41-03 5.74-03 7.64-03 1.09-02 1.39-02 1.72-02
     4     1 9.16+11 2.79-02 2.79-02 2.79-02 2.80-02 2.80-02 2.82-02 2.85-02 2.91-02 3.04-02 3.17-02 3.29-02 3.43-02 3.51-02 3.56-02
     5     1 5.01+14 1.01-01 1.01-01 1.01-01 1.01-01 1.02-01 1.04-01 1.07-01 1.15-01 1.38-01 1.67-01 2.08-01 2.76-01 3.37-01 4.03-01
     9     1 3.86+13 6.32-04 6.33-04 6.33-04 6.34-04 6.37-04 6.45-04 6.61-04 6.99-04 8.19-04 9.92-04 1.25-03 1.71-03 2.14-03 2.61-03
    10     1 3.60+11 5.76-03 5.76-03 5.76-03 5.77-03 5.77-03 5.79-03 5.83-03 5.90-03 6.06-03 6.24-03 6.42-03 6.62-03 6.74-03 6.82-03
    11     1 1.65+14 2.13-02 2.13-02 2.14-02 2.14-02 2.15-02 2.17-02 2.22-02 2.32-02 2.63-02 3.04-02 3.63-02 4.63-02 5.52-02 6.49-02
    12     1 1.86+12 3.78-03 3.78-03 3.79-03 3.79-03 3.80-03 3.83-03 3.89-03 4.01-03 4.31-03 4.65-03 5.03-03 5.49-03 5.76-03 5.95-03
    14     1 1.87+13 2.50-04 2.50-04 2.51-04 2.51-04 2.52-04 2.54-04 2.60-04 2.72-04 3.11-04 3.68-04 4.54-04 6.08-04 7.51-04 9.11-04
    16     1 1.76+11 2.23-03 2.23-03 2.23-03 2.23-03 2.23-03 2.24-03 2.25-03 2.27-03 2.32-03 2.38-03 2.44-03 2.50-03 2.54-03 2.57-03
    17     1 7.55+13 8.26-03 8.26-03 8.27-03 8.28-03 8.30-03 8.37-03 8.52-03 8.85-03 9.84-03 1.12-02 1.32-02 1.65-02 1.95-02 2.27-02
    19     1 1.27+12 2.06-03 2.06-03 2.06-03 2.06-03 2.07-03 2.08-03 2.11-03 2.16-03 2.30-03 2.46-03 2.64-03 2.87-03 3.00-03 3.10-03
     2     1 1.51+13 4.06-02 4.07-02 4.09-02 4.14-02 4.23-02 4.51-02 4.87-02 5.38-02 6.23-02 6.98-02 7.80-02 8.93-02 9.80-02 1.07-01
     6     1 1.00-30 8.55-03 8.55-03 8.55-03 8.56-03 8.57-03 8.63-03 8.72-03 8.91-03 9.34-03 9.77-03 1.02-02 1.07-02 1.10-02 1.12-02
     7     1 2.52+14 8.17-03 8.18-03 8.19-03 8.22-03 8.28-03 8.48-03 8.91-03 9.90-03 1.29-02 1.72-02 2.34-02 3.44-02 4.45-02 5.58-02
     8     1 4.54+12 2.14-02 2.14-02 2.14-02 2.14-02 2.14-02 2.16-02 2.18-02 2.22-02 2.31-02 2.41-02 2.51-02 2.63-02 2.70-02 2.74-02
    13     1 1.00-30 1.76-03 1.76-03 1.77-03 1.77-03 1.77-03 1.78-03 1.79-03 1.81-03 1.87-03 1.94-03 2.01-03 2.09-03 2.14-03 2.17-03
    15     1 1.11+14 2.29-03 2.29-03 2.29-03 2.30-03 2.31-03 2.34-03 2.42-03 2.60-03 3.16-03 3.97-03 5.19-03 7.38-03 9.41-03 1.17-02
    18     1 8.69+11 4.14-03 4.14-03 4.14-03 4.14-03 4.14-03 4.15-03 4.17-03 4.20-03 4.29-03 4.38-03 4.48-03 4.59-03 4.65-03 4.70-03
    20     1 1.00-30 6.80-04 6.80-04 6.80-04 6.81-04 6.81-04 6.83-04 6.87-04 6.95-04 7.14-04 7.36-04 7.60-04 7.89-04 8.06-04 8.18-04
    21     1 5.65+13 9.78-04 9.79-04 9.80-04 9.81-04 9.85-04 9.99-04 1.03-03 1.09-03 1.30-03 1.60-03 2.05-03 2.88-03 3.64-03 4.50-03
    22     1 2.85+11 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.54-03 1.54-03 1.55-03 1.57-03 1.59-03 1.62-03 1.65-03 1.66-03 1.68-03
     4     3 7.24+11 3.51+00 3.53+00 3.62+00 3.77+00 4.02+00 4.58+00 5.15+00 5.82+00 6.82+00 7.63+00 8.46+00 9.60+00 1.05+01 1.14+01
     5     3 1.42+08 2.99-01 3.00-01 3.02-01 3.05-01 3.09-01 3.15-01 3.20-01 3.23-01 3.27-01 3.28-01 3.29-01 3.30-01 3.30-01 3.30-01
     9     3 1.00-30 8.44-02 8.45-02 8.47-02 8.50-02 8.58-02 8.84-02 9.21-02 9.77-02 1.07-01 1.13-01 1.18-01 1.23-01 1.26-01 1.27-01
    10     3 5.40+13 3.55-02 3.56-02 3.58-02 3.62-02 3.73-02 4.15-02 4.96-02 6.64-02 1.08-01 1.56-01 2.17-01 3.15-01 3.97-01 4.84-01
    11     3 5.09+11 9.58-02 9.59-02 9.62-02 9.66-02 9.77-02 1.01-01 1.07-01 1.15-01 1.29-01 1.39-01 1.47-01 1.55-01 1.59-01 1.62-01
    14     3 1.00-30 1.72-02 1.72-02 1.73-02 1.73-02 1.74-02 1.77-02 1.81-02 1.89-02 2.02-02 2.12-02 2.20-02 2.28-02 2.33-02 2.35-02
    16     3 3.07+13 1.05-02 1.05-02 1.06-02 1.06-02 1.08-02 1.16-02 1.31-02 1.62-02 2.43-02 3.39-02 4.62-02 6.61-02 8.31-02 1.01-01
    17     3 2.18+11 2.65-02 2.65-02 2.65-02 2.66-02 2.67-02 2.72-02 2.79-02 2.91-02 3.12-02 3.28-02 3.42-02 3.55-02 3.62-02 3.66-02
     5     4 3.40+11 5.45+00 5.50+00 5.66+00 5.93+00 6.37+00 7.26+00 8.13+00 9.13+00 1.06+01 1.18+01 1.30+01 1.46+01 1.59+01 1.73+01
     9     4 7.30+13 3.75-02 3.76-02 3.78-02 3.83-02 3.93-02 4.34-02 5.12-02 6.65-02 1.02-01 1.42-01 1.91-01 2.68-01 3.31-01 3.98-01
    10     4 2.63+11 3.35-01 3.35-01 3.36-01 3.38-01 3.41-01 3.52-01 3.67-01 3.89-01 4.24-01 4.48-01 4.68-01 4.87-01 4.95-01 5.01-01
    11     4 1.36+14 2.73-01 2.74-01 2.76-01 2.80-01 2.89-01 3.24-01 3.86-01 5.05-01 7.74-01 1.06+00 1.42+00 1.97+00 2.42+00 2.89+00
    12     4 7.61+11 6.02-01 6.03-01 6.04-01 6.06-01 6.10-01 6.24-01 6.44-01 6.74-01 7.20-01 7.53-01 7.80-01 8.05-01 8.17-01 8.25-01
    14     4 3.36+13 8.45-03 8.46-03 8.48-03 8.53-03 8.64-03 9.08-03 9.92-03 1.17-02 1.60-02 2.10-02 2.73-02 3.75-02 4.60-02 5.49-02
    16     4 1.40+11 7.02-02 7.03-02 7.03-02 7.05-02 7.08-02 7.20-02 7.39-02 7.68-02 8.16-02 8.53-02 8.84-02 9.13-02 9.28-02 9.37-02
    17     4 7.00+13 8.00-02 8.01-02 8.05-02 8.11-02 8.26-02 8.81-02 9.83-02 1.18-01 1.65-01 2.16-01 2.80-01 3.79-01 4.61-01 5.46-01
    19     4 3.98+10 8.16-02 8.16-02 8.16-02 8.17-02 8.18-02 8.23-02 8.29-02 8.38-02 8.52-02 8.62-02 8.70-02 8.76-02 8.79-02 8.81-02
     9     5 1.13+11 2.12-02 2.12-02 2.13-02 2.14-02 2.16-02 2.23-02 2.34-02 2.49-02 2.72-02 2.88-02 3.00-02 3.12-02 3.17-02 3.21-02
    10     5 1.36+13 4.99-02 5.00-02 5.01-02 5.04-02 5.10-02 5.35-02 5.83-02 6.80-02 9.10-02 1.17-01 1.49-01 2.00-01 2.41-01 2.85-01
    11     5 1.04+11 5.23-01 5.23-01 5.24-01 5.26-01 5.30-01 5.44-01 5.63-01 5.90-01 6.30-01 6.58-01 6.80-01 7.00-01 7.10-01 7.16-01
    12     5 2.76+14 2.23+00 2.24+00 2.25+00 2.27+00 2.32+00 2.50+00 2.81+00 3.36+00 4.53+00 5.71+00 7.11+00 9.23+00 1.09+01 1.27+01
    14     5 6.20+10 4.53-03 4.53-03 4.54-03 4.55-03 4.57-03 4.66-03 4.78-03 4.96-03 5.23-03 5.43-03 5.59-03 5.74-03 5.82-03 5.86-03
