W +66        74        67 131080002.2(1S)
    1  2s2 2p4           (0)0(     7.0)            0.0000   {X}
    2  2s1 2p5           (0)0(     5.5)     11158929.6000   {X}
    3  2s2 2p3 3s1       (0)0(    19.5)     73386243.9000   {X}
    4  2s2 2p3 3p1       (0)0(    59.5)     76590220.8000   {X}
    5  2s2 2p3 3d1       (0)0(    98.5)     79120641.3000   {X}
    6  2s1 2p4 3s1       (0)0(    29.5)     84255225.7000   {X}
    7  2s1 2p4 3p1       (0)0(    89.5)     87413617.7000   {X}
    8  2s1 2p4 3d1       (0)0(   149.5)     89939604.8000   {X}
    9  2s2 2p3 4s1       (0)0(    19.5)    101326908.6000   {X}
   10  2s2 2p3 4p1       (0)0(    59.5)    102646422.3000   {X}
   11  2s2 2p3 4d1       (0)0(    98.5)    103671895.1000   {X}
   12  2s2 2p3 4f1       (0)0(   139.5)    104111886.6000   {X}
   13  2s1 2p4 4s1       (0)0(    29.5)    112149197.2000   {X}
   14  2s1 2p4 4p1       (0)0(    89.5)    113455663.2000   {X}
   15  2s2 2p3 5s1       (0)0(    19.5)    113860187.6000   {X}
   16  2s1 2p4 4d1       (0)0(   149.5)    114479138.7000   {X}
   17  2s2 2p3 5p1       (0)0(    59.5)    114523735.9000   {X}
   18  2s2 2p3 5d1       (0)0(    98.5)    115039215.7000   {X}
   19  2s2 2p3 5f1       (0)0(   139.5)    115261269.1000   {X}
   20  2s1 2p4 5s1       (0)0(    29.5)    124669658.9000   {X}
   21  2s1 2p4 5p1       (0)0(    89.5)    125327588.6000   {X}
   22  2s1 2p4 5d1       (0)0(   149.5)    125842047.9000   {X}
   -1
 67.0    3           4.49+05 8.98+05 2.24+06 4.49+06 8.98+06 2.24+07 4.49+07 8.98+07 2.24+08 4.49+08 8.98+08 2.24+09 4.49+09 8.98+09
     3     1 1.57+14 5.60-03 5.60-03 5.61-03 5.63-03 5.66-03 5.80-03 6.07-03 6.70-03 8.57-03 1.11-02 1.48-02 2.12-02 2.71-02 3.35-02
     4     1 1.46+12 5.50-02 5.51-02 5.51-02 5.51-02 5.52-02 5.56-02 5.62-02 5.74-02 6.00-02 6.25-02 6.50-02 6.77-02 6.92-02 7.02-02
     5     1 7.84+14 1.99-01 1.99-01 1.99-01 2.00-01 2.01-01 2.04-01 2.12-01 2.28-01 2.72-01 3.31-01 4.12-01 5.47-01 6.67-01 7.97-01
     9     1 5.96+13 1.24-03 1.24-03 1.24-03 1.24-03 1.24-03 1.26-03 1.29-03 1.36-03 1.60-03 1.94-03 2.44-03 3.33-03 4.16-03 5.07-03
    10     1 5.74+11 1.14-02 1.14-02 1.14-02 1.14-02 1.14-02 1.14-02 1.15-02 1.16-02 1.20-02 1.23-02 1.27-02 1.31-02 1.33-02 1.34-02
    11     1 2.56+14 4.18-02 4.18-02 4.18-02 4.19-02 4.20-02 4.25-02 4.34-02 4.54-02 5.14-02 5.95-02 7.10-02 9.05-02 1.08-01 1.27-01
    12     1 3.03+12 7.72-03 7.73-03 7.73-03 7.74-03 7.76-03 7.82-03 7.94-03 8.19-03 8.82-03 9.52-03 1.03-02 1.12-02 1.18-02 1.22-02
    15     1 2.89+13 4.91-04 4.91-04 4.91-04 4.92-04 4.93-04 4.98-04 5.08-04 5.32-04 6.08-04 7.18-04 8.85-04 1.19-03 1.46-03 1.77-03
    17     1 2.81+11 4.38-03 4.38-03 4.38-03 4.38-03 4.39-03 4.40-03 4.42-03 4.46-03 4.57-03 4.68-03 4.79-03 4.93-03 5.01-03 5.06-03
    18     1 1.17+14 1.61-02 1.61-02 1.61-02 1.61-02 1.62-02 1.63-02 1.66-02 1.73-02 1.92-02 2.18-02 2.56-02 3.21-02 3.79-02 4.42-02
    19     1 2.08+12 4.18-03 4.18-03 4.19-03 4.19-03 4.20-03 4.23-03 4.28-03 4.39-03 4.68-03 5.00-03 5.37-03 5.82-03 6.08-03 6.28-03
