W +67        74        68 133790002.5(1S)
    1  2s2 2p3           (0)0(     9.5)            0.0000   {X}
    2  2s1 2p4           (0)0(    14.5)     10798124.4000   {X}
    3  2s2 2p2 3s1       (0)0(    14.5)     74831121.5000   {X}
    4  2s2 2p2 3p1       (0)0(    44.5)     77984026.6000   {X}
    5  2s2 2p2 3d1       (0)0(    74.5)     80390619.6000   {X}
    6  2s1 2p3 3s1       (0)0(    39.5)     85329794.9000   {X}
    7  2s1 2p3 3p1       (0)0(   119.5)     88441822.9000   {X}
    8  2s1 2p3 3d1       (0)0(   199.0)     90844191.0000   {X}
    9  2s2 2p2 4s1       (0)0(    14.5)    103343473.4000   {X}
   10  2s2 2p2 4p1       (0)0(    44.5)    104645264.6000   {X}
   11  2s2 2p2 4d1       (0)0(    74.5)    105627325.3000   {X}
   12  2s2 2p2 4f1       (0)0(   104.0)    106044842.6000   {X}
   13  2s1 2p3 4s1       (0)0(    39.5)    113799502.9000   {X}
   14  2s1 2p3 4p1       (0)0(   119.5)    115088158.5000   {X}
   15  2s1 2p3 4d1       (0)0(   199.0)    116068189.1000   {X}
   16  2s2 2p2 5s1       (0)0(    14.5)    116168620.6000   {X}
   17  2s2 2p2 5p1       (0)0(    44.5)    116823817.9000   {X}
   18  2s2 2p2 5d1       (0)0(    74.5)    117318864.6000   {X}
   19  2s2 2p2 5f1       (0)0(   104.0)    117529922.3000   {X}
   20  2s1 2p3 5s1       (0)0(    39.5)    126611536.5000   {X}
   21  2s1 2p3 5p1       (0)0(   119.5)    127261016.5000   {X}
   22  2s1 2p3 5d1       (0)0(   199.0)    127755020.7000   {X}
   -1
 68.0    3           4.62+05 9.25+05 2.31+06 4.62+06 9.25+06 2.31+07 4.62+07 9.25+07 2.31+08 4.62+08 9.25+08 2.31+09 4.62+09 9.25+09
     3     1 2.15+14 5.44-03 5.45-03 5.45-03 5.47-03 5.51-03 5.64-03 5.91-03 6.51-03 8.34-03 1.08-02 1.44-02 2.06-02 2.63-02 3.25-02
     4     1 2.07+12 5.42-02 5.43-02 5.43-02 5.43-02 5.44-02 5.48-02 5.54-02 5.66-02 5.92-02 6.16-02 6.41-02 6.68-02 6.83-02 6.93-02
     5     1 1.09+15 2.00-01 2.00-01 2.00-01 2.01-01 2.02-01 2.06-01 2.13-01 2.29-01 2.75-01 3.34-01 4.16-01 5.52-01 6.73-01 8.03-01
     9     1 8.21+13 1.21-03 1.21-03 1.21-03 1.21-03 1.22-03 1.23-03 1.26-03 1.34-03 1.57-03 1.90-03 2.39-03 3.26-03 4.06-03 4.95-03
    10     1 8.13+11 1.12-02 1.12-02 1.12-02 1.12-02 1.12-02 1.12-02 1.13-02 1.15-02 1.18-02 1.21-02 1.25-02 1.29-02 1.31-02 1.32-02
    11     1 3.54+14 4.16-02 4.17-02 4.17-02 4.18-02 4.19-02 4.23-02 4.33-02 4.53-02 5.13-02 5.94-02 7.08-02 9.02-02 1.07-01 1.26-01
    12     1 4.40+12 7.80-03 7.80-03 7.81-03 7.82-03 7.84-03 7.90-03 8.02-03 8.28-03 8.91-03 9.62-03 1.04-02 1.13-02 1.19-02 1.23-02
    16     1 3.98+13 4.81-04 4.81-04 4.81-04 4.82-04 4.84-04 4.89-04 4.99-04 5.22-04 5.96-04 7.04-04 8.67-04 1.16-03 1.43-03 1.73-03
    17     1 3.97+11 4.31-03 4.31-03 4.32-03 4.32-03 4.32-03 4.33-03 4.35-03 4.40-03 4.50-03 4.61-03 4.72-03 4.85-03 4.93-03 4.98-03
    18     1 1.61+14 1.60-02 1.60-02 1.60-02 1.60-02 1.61-02 1.62-02 1.65-02 1.72-02 1.91-02 2.17-02 2.55-02 3.19-02 3.76-02 4.38-02
    19     1 3.00+12 4.20-03 4.20-03 4.20-03 4.21-03 4.22-03 4.25-03 4.30-03 4.41-03 4.70-03 5.02-03 5.39-03 5.84-03 6.10-03 6.30-03
     2     1 8.13+12 4.05-01 4.06-01 4.09-01 4.14-01 4.25-01 4.55-01 4.94-01 5.46-01 6.32-01 7.07-01 7.88-01 8.99-01 9.86-01 1.08+00
     6     1 1.00-30 2.82-02 2.82-02 2.82-02 2.82-02 2.83-02 2.84-02 2.88-02 2.94-02 3.09-02 3.23-02 3.38-02 3.54-02 3.64-02 3.70-02
     7     1 2.73+14 2.77-02 2.77-02 2.78-02 2.79-02 2.81-02 2.88-02 3.03-02 3.38-02 4.43-02 5.91-02 8.06-02 1.18-01 1.52-01 1.90-01
     8     1 4.88+12 7.16-02 7.16-02 7.16-02 7.17-02 7.18-02 7.21-02 7.29-02 7.43-02 7.75-02 8.08-02 8.42-02 8.80-02 9.02-02 9.17-02
    13     1 1.00-30 5.79-03 5.79-03 5.79-03 5.79-03 5.80-03 5.82-03 5.86-03 5.94-03 6.14-03 6.35-03 6.58-03 6.85-03 7.00-03 7.11-03
    14     1 1.20+14 7.69-03 7.70-03 7.71-03 7.73-03 7.76-03 7.90-03 8.16-03 8.78-03 1.07-02 1.35-02 1.76-02 2.49-02 3.17-02 3.92-02
    15     1 8.74+11 1.34-02 1.34-02 1.34-02 1.34-02 1.34-02 1.34-02 1.35-02 1.36-02 1.39-02 1.42-02 1.45-02 1.48-02 1.50-02 1.51-02
    20     1 1.00-30 2.23-03 2.23-03 2.23-03 2.23-03 2.23-03 2.24-03 2.25-03 2.27-03 2.34-03 2.41-03 2.49-03 2.58-03 2.64-03 2.68-03
    21     1 6.12+13 3.28-03 3.28-03 3.29-03 3.30-03 3.31-03 3.36-03 3.45-03 3.68-03 4.37-03 5.38-03 6.91-03 9.66-03 1.22-02 1.50-02
    22     1 2.73+11 4.92-03 4.92-03 4.92-03 4.92-03 4.92-03 4.93-03 4.94-03 4.97-03 5.03-03 5.10-03 5.18-03 5.26-03 5.31-03 5.34-03
     4     3 6.39+11 3.45+00 3.47+00 3.57+00 3.72+00 3.99+00 4.54+00 5.11+00 5.76+00 6.74+00 7.53+00 8.33+00 9.44+00 1.03+01 1.13+01
     5     3 9.63+07 2.80-01 2.80-01 2.83-01 2.86-01 2.91-01 2.98-01 3.03-01 3.06-01 3.09-01 3.10-01 3.11-01 3.12-01 3.12-01 3.13-01
     9     3 1.00-30 8.18-02 8.18-02 8.20-02 8.23-02 8.31-02 8.57-02 8.94-02 9.49-02 1.03-01 1.10-01 1.15-01 1.19-01 1.22-01 1.23-01
    10     3 6.10+13 3.55-02 3.56-02 3.58-02 3.63-02 3.74-02 4.18-02 5.03-02 6.76-02 1.10-01 1.59-01 2.21-01 3.21-01 4.04-01 4.92-01
    11     3 5.82+11 9.84-02 9.85-02 9.87-02 9.92-02 1.00-01 1.04-01 1.09-01 1.18-01 1.32-01 1.42-01 1.50-01 1.58-01 1.62-01 1.65-01
    16     3 1.00-30 1.67-02 1.67-02 1.67-02 1.68-02 1.68-02 1.71-02 1.76-02 1.83-02 1.95-02 2.05-02 2.13-02 2.21-02 2.25-02 2.28-02
    17     3 3.46+13 1.05-02 1.05-02 1.05-02 1.06-02 1.08-02 1.16-02 1.32-02 1.64-02 2.46-02 3.42-02 4.65-02 6.65-02 8.35-02 1.01-01
    18     3 2.40+11 2.63-02 2.63-02 2.64-02 2.64-02 2.66-02 2.70-02 2.78-02 2.89-02 3.09-02 3.24-02 3.37-02 3.50-02 3.56-02 3.60-02
     5     4 2.41+11 5.35+00 5.41+00 5.60+00 5.89+00 6.36+00 7.27+00 8.12+00 9.10+00 1.05+01 1.16+01 1.28+01 1.44+01 1.56+01 1.70+01
     9     4 7.86+13 3.51-02 3.52-02 3.54-02 3.58-02 3.67-02 4.05-02 4.77-02 6.18-02 9.49-02 1.31-01 1.77-01 2.48-01 3.07-01 3.69-01
    10     4 3.06+11 3.23-01 3.23-01 3.24-01 3.25-01 3.29-01 3.39-01 3.54-01 3.75-01 4.09-01 4.32-01 4.52-01 4.69-01 4.78-01 4.83-01
    11     4 1.54+14 2.79-01 2.80-01 2.82-01 2.86-01 2.96-01 3.31-01 3.95-01 5.16-01 7.89-01 1.08+00 1.44+00 1.99+00 2.44+00 2.91+00
    12     4 8.54+11 5.85-01 5.86-01 5.87-01 5.89-01 5.93-01 6.07-01 6.26-01 6.55-01 6.99-01 7.31-01 7.57-01 7.81-01 7.92-01 7.99-01
    16     4 3.64+13 7.98-03 7.99-03 8.01-03 8.05-03 8.16-03 8.57-03 9.36-03 1.10-02 1.50-02 1.97-02 2.56-02 3.51-02 4.31-02 5.14-02
    17     4 1.63+11 6.75-02 6.76-02 6.76-02 6.78-02 6.81-02 6.93-02 7.11-02 7.39-02 7.85-02 8.21-02 8.51-02 8.79-02 8.93-02 9.02-02
    18     4 7.81+13 8.00-02 8.01-02 8.04-02 8.11-02 8.26-02 8.80-02 9.82-02 1.18-01 1.64-01 2.15-01 2.77-01 3.73-01 4.54-01 5.37-01
    19     4 3.54+10 7.60-02 7.60-02 7.60-02 7.61-02 7.62-02 7.65-02 7.71-02 7.79-02 7.90-02 7.98-02 8.05-02 8.10-02 8.12-02 8.14-02
     9     5 1.34+11 1.89-02 1.89-02 1.89-02 1.90-02 1.92-02 1.99-02 2.09-02 2.23-02 2.43-02 2.58-02 2.69-02 2.79-02 2.84-02 2.87-02
    10     5 1.44+13 4.69-02 4.69-02 4.70-02 4.72-02 4.78-02 4.99-02 5.39-02 6.22-02 8.20-02 1.04-01 1.32-01 1.77-01 2.13-01 2.52-01
    11     5 1.24+11 4.96-01 4.96-01 4.97-01 4.99-01 5.03-01 5.16-01 5.34-01 5.60-01 5.98-01 6.24-01 6.45-01 6.65-01 6.74-01 6.80-01
    12     5 3.09+14 2.14+00 2.14+00 2.15+00 2.17+00 2.22+00 2.40+00 2.70+00 3.22+00 4.34+00 5.47+00 6.82+00 8.84+00 1.05+01 1.21+01
    16     5 7.43+10 4.17-03 4.17-03 4.18-03 4.19-03 4.21-03 4.29-03 4.40-03 4.57-03 4.82-03 5.00-03 5.15-03 5.29-03 5.36-03 5.40-03
    17     5 6.04+12 1.15-02 1.15-02 1.15-02 1.15-02 1.16-02 1.18-02 1.22-02 1.30-02 1.52-02 1.78-02 2.11-02 2.64-02 3.10-02 3.57-02
    18     5 5.69+10 9.86-02 9.87-02 9.87-02 9.89-02 9.93-02 1.01-01 1.02-01 1.05-01 1.10-01 1.13-01 1.16-01 1.19-01 1.20-01 1.21-01
    19     5 1.03+14 4.06-01 4.06-01 4.07-01 4.10-01 4.14-01 4.31-01 4.61-01 5.15-01 6.35-01 7.60-01 9.07-01 1.13+00 1.31+00 1.50+00
    10     9 1.54+11 1.09+01 1.11+01 1.18+01 1.28+01 1.43+01 1.69+01 1.92+01 2.18+01 2.53+01 2.81+01 3.09+01 3.49+01 3.80+01 4.12+01
    11     9 1.64+07 1.26+00 1.26+00 1.27+00 1.28+00 1.30+00 1.32+00 1.33+00 1.34+00 1.34+00 1.35+00 1.35+00 1.35+00 1.35+00 1.35+00
    16     9 1.00-30 2.11-01 2.12-01 2.13-01 2.16-01 2.23-01 2.40-01 2.60-01 2.84-01 3.14-01 3.32-01 3.45-01 3.56-01 3.62-01 3.65-01
    17     9 1.32+13 7.23-02 7.25-02 7.33-02 7.51-02 7.99-02 9.87-02 1.33-01 1.96-01 3.31-01 4.71-01 6.39-01 8.89-01 1.09+00 1.30+00
    18     9 7.37+10 1.55-01 1.56-01 1.57-01 1.60-01 1.67-01 1.85-01 2.08-01 2.35-01 2.72-01 2.95-01 3.12-01 3.27-01 3.34-01 3.38-01
    11    10 6.97+10 2.11+01 2.17+01 2.34+01 2.55+01 2.85+01 3.33+01 3.76+01 4.22+01 4.86+01 5.35+01 5.86+01 6.56+01 7.12+01 7.71+01
    12    10 9.68+05 1.18+00 1.19+00 1.22+00 1.25+00 1.28+00 1.30+00 1.32+00 1.32+00 1.33+00 1.34+00 1.34+00 1.34+00 1.34+00 1.34+00
    16    10 2.56+13 8.94-02 8.98-02 9.11-02 9.41-02 1.02-01 1.29-01 1.75-01 2.53-01 4.09-01 5.66-01 7.50-01 1.02+00 1.23+00 1.45+00
    17    10 5.27+10 8.19-01 8.21-01 8.28-01 8.41-01 8.67-01 9.37-01 1.02+00 1.11+00 1.23+00 1.30+00 1.35+00 1.39+00 1.41+00 1.43+00
    18    10 2.99+13 2.82-01 2.84-01 2.92-01 3.06-01 3.43-01 4.71-01 6.84-01 1.04+00 1.74+00 2.43+00 3.23+00 4.41+00 5.34+00 6.32+00
    19    10 1.26+11 9.15-01 9.17-01 9.24-01 9.37-01 9.66-01 1.04+00 1.13+00 1.23+00 1.36+00 1.43+00 1.49+00 1.54+00 1.56+00 1.58+00
    12    11 3.46+09 2.45+01 2.59+01 2.90+01 3.21+01 3.57+01 4.10+01 4.52+01 4.96+01 5.54+01 6.01+01 6.51+01 7.21+01 7.77+01 8.36+01
    16    11 3.95+10 7.67-02 7.69-02 7.76-02 7.91-02 8.22-02 9.00-02 9.86-02 1.08-01 1.20-01 1.27-01 1.32-01 1.36-01 1.38-01 1.39-01
    17    11 7.13+12 1.57-01 1.57-01 1.58-01 1.60-01 1.66-01 1.87-01 2.25-01 2.91-01 4.27-01 5.66-01 7.30-01 9.70-01 1.16+00 1.36+00
    18    11 2.79+10 1.37+00 1.38+00 1.39+00 1.41+00 1.45+00 1.55+00 1.66+00 1.80+00 1.96+00 2.05+00 2.12+00 2.18+00 2.21+00 2.22+00
    19    11 5.63+13 1.73+00 1.74+00 1.78+00 1.85+00 2.02+00 2.59+00 3.44+00 4.78+00 7.26+00 9.61+00 1.23+01 1.61+01 1.91+01 2.23+01
    17    12 5.93+09 5.07-02 5.08-02 5.11-02 5.18-02 5.31-02 5.62-02 5.94-02 6.31-02 6.77-02 7.05-02 7.25-02 7.42-02 7.50-02 7.54-02
