W +68        74        69 149022002.6(1S)
    1  2s2 2p2           (0)0(     7.0)            0.0000   {X}
    2  2s1 2p3           (0)0(    19.5)     10431163.0000   {X}
    3  2s2 2p1 3s1       (0)0(     5.5)     76285403.6000   {X}
    4  2s2 2p1 3p1       (0)0(    17.5)     79388652.6000   {X}
    5  2s2 2p1 3d1       (0)0(    29.5)     81667917.4000   {X}
    6  2s1 2p2 3s1       (0)0(    29.5)     86417049.7000   {X}
    7  2s1 2p2 3p1       (0)0(    89.5)     89474713.9000   {X}
    8  2s1 2p2 3d1       (0)0(   149.5)     91749885.5000   {X}
    9  2s2 2p1 4s1       (0)0(     5.5)    105378342.4000   {X}
   10  2s2 2p1 4p1       (0)0(    17.5)    106660611.3000   {X}
   11  2s2 2p1 4d1       (0)0(    29.5)    107597767.5000   {X}
   12  2s2 2p1 4f1       (0)0(    41.5)    107991120.7000   {X}
   13  2s1 2p2 4s1       (0)0(    29.5)    115461802.9000   {X}
   14  2s1 2p2 4p1       (0)0(    89.5)    116730936.3000   {X}
   15  2s1 2p2 4d1       (0)0(   149.5)    117665974.6000   {X}
   16  2s2 2p1 5s1       (0)0(     5.5)    118498167.1000   {X}
   17  2s2 2p1 5p1       (0)0(    17.5)    119143773.3000   {X}
   18  2s2 2p1 5d1       (0)0(    29.5)    119617640.8000   {X}
   19  2s2 2p1 5f1       (0)0(    41.5)    119816923.6000   {X}
   20  2s1 2p2 5s1       (0)0(    29.5)    128568053.1000   {X}
   21  2s1 2p2 5p1       (0)0(    89.5)    129208073.7000   {X}
   22  2s1 2p2 5d1       (0)0(   149.5)    129680821.8000   {X}
   -1
 69.0    3           4.76+05 9.52+05 2.38+06 4.76+06 9.52+06 2.38+07 4.76+07 9.52+07 2.38+08 4.76+08 9.52+08 2.38+09 4.76+09 9.52+09
     3     1 2.76+14 2.65-03 2.65-03 2.66-03 2.66-03 2.68-03 2.74-03 2.87-03 3.17-03 4.06-03 5.28-03 7.02-03 1.00-02 1.28-02 1.58-02
     4     1 2.75+12 2.67-02 2.67-02 2.67-02 2.68-02 2.68-02 2.70-02 2.73-02 2.79-02 2.92-02 3.04-02 3.16-02 3.29-02 3.37-02 3.42-02
     5     1 1.42+15 9.96-02 9.97-02 9.98-02 1.00-01 1.01-01 1.02-01 1.06-01 1.14-01 1.37-01 1.67-01 2.08-01 2.76-01 3.36-01 4.01-01
     9     1 1.06+14 5.92-04 5.93-04 5.93-04 5.94-04 5.96-04 6.03-04 6.19-04 6.55-04 7.66-04 9.27-04 1.17-03 1.59-03 1.98-03 2.41-03
    10     1 1.08+12 5.51-03 5.51-03 5.51-03 5.51-03 5.52-03 5.54-03 5.57-03 5.64-03 5.80-03 5.96-03 6.14-03 6.33-03 6.44-03 6.52-03
    11     1 4.58+14 2.06-02 2.06-02 2.06-02 2.06-02 2.07-02 2.09-02 2.14-02 2.24-02 2.54-02 2.94-02 3.50-02 4.45-02 5.30-02 6.21-02
    12     1 5.98+12 3.97-03 3.97-03 3.98-03 3.98-03 3.99-03 4.03-03 4.09-03 4.22-03 4.54-03 4.90-03 5.30-03 5.77-03 6.04-03 6.24-03
    16     1 5.14+13 2.36-04 2.36-04 2.36-04 2.36-04 2.37-04 2.39-04 2.44-04 2.56-04 2.92-04 3.45-04 4.24-04 5.67-04 6.99-04 8.47-04
    17     1 5.27+11 2.12-03 2.12-03 2.12-03 2.12-03 2.13-03 2.13-03 2.14-03 2.16-03 2.21-03 2.27-03 2.32-03 2.39-03 2.43-03 2.45-03
    18     1 2.08+14 7.88-03 7.89-03 7.89-03 7.90-03 7.92-03 8.00-03 8.14-03 8.46-03 9.41-03 1.07-02 1.26-02 1.57-02 1.84-02 2.15-02
    19     1 4.06+12 2.13-03 2.13-03 2.13-03 2.13-03 2.14-03 2.15-03 2.18-03 2.24-03 2.38-03 2.55-03 2.73-03 2.96-03 3.09-03 3.19-03
     2     1 5.44+12 4.04-01 4.05-01 4.08-01 4.14-01 4.25-01 4.57-01 4.97-01 5.50-01 6.37-01 7.11-01 7.92-01 9.01-01 9.87-01 1.08+00
     6     1 1.00-30 2.10-02 2.10-02 2.10-02 2.10-02 2.11-02 2.12-02 2.15-02 2.19-02 2.30-02 2.41-02 2.52-02 2.64-02 2.71-02 2.76-02
     7     1 2.84+14 2.10-02 2.10-02 2.10-02 2.11-02 2.12-02 2.18-02 2.30-02 2.56-02 3.37-02 4.50-02 6.12-02 8.96-02 1.16-01 1.44-01
     8     1 5.05+12 5.39-02 5.40-02 5.40-02 5.40-02 5.41-02 5.44-02 5.49-02 5.60-02 5.85-02 6.09-02 6.35-02 6.64-02 6.80-02 6.91-02
    13     1 1.00-30 4.31-03 4.31-03 4.31-03 4.31-03 4.32-03 4.33-03 4.36-03 4.42-03 4.57-03 4.73-03 4.90-03 5.09-03 5.21-03 5.29-03
    14     1 1.24+14 5.80-03 5.80-03 5.81-03 5.82-03 5.85-03 5.95-03 6.16-03 6.63-03 8.08-03 1.02-02 1.33-02 1.88-02 2.39-02 2.95-02
    15     1 8.75+11 9.96-03 9.96-03 9.96-03 9.96-03 9.97-03 9.99-03 1.00-02 1.01-02 1.03-02 1.05-02 1.07-02 1.10-02 1.11-02 1.12-02
    20     1 1.00-30 1.66-03 1.66-03 1.66-03 1.66-03 1.66-03 1.67-03 1.67-03 1.69-03 1.74-03 1.79-03 1.85-03 1.92-03 1.96-03 1.99-03
    21     1 6.35+13 2.47-03 2.47-03 2.47-03 2.48-03 2.49-03 2.53-03 2.60-03 2.77-03 3.30-03 4.06-03 5.21-03 7.27-03 9.16-03 1.13-02
