W +69        74        70 152213002.9(1S)
    1  2s2 2p1           (0)0(     2.5)            0.0000   {X}
    2  2s1 2p2           (0)0(    14.5)     10057913.7000   {X}
    3  2s2 3s1           (0)0(     0.5)     77753227.2000   {X}
    4  2s2 3p1           (0)0(     2.5)     80804329.1000   {X}
    5  2s2 3d1           (0)0(     4.5)     82952743.2000   {X}
    6  2s1 2p1 3s1       (0)0(    11.5)     87507465.0000   {X}
    7  2s1 2p1 3p1       (0)0(    35.5)     90512411.4000   {X}
    8  2s1 2p1 3d1       (0)0(    59.5)     92657072.5000   {X}
    9  2s2 4s1           (0)0(     0.5)    107431329.0000   {X}
   10  2s2 4p1           (0)0(     2.5)    108692780.8000   {X}
   11  2s2 4d1           (0)0(     4.5)    109583452.3000   {X}
   12  2s2 4f1           (0)0(     6.5)    109951006.2000   {X}
   13  2s1 2p1 4s1       (0)0(    11.5)    117136130.1000   {X}
   14  2s1 2p1 4p1       (0)0(    35.5)    118384325.6000   {X}
   15  2s1 2p1 4d1       (0)0(    59.5)    119272934.1000   {X}
   16  2s2 5s1           (0)0(     0.5)    120848530.7000   {X}
   17  2s2 5p1           (0)0(     2.5)    121483876.5000   {X}
   18  2s2 5d1           (0)0(     4.5)    121935708.7000   {X}
   19  2s2 5f1           (0)0(     6.5)    122122448.6000   {X}
   20  2s1 2p1 5s1       (0)0(    11.5)    130539274.5000   {X}
   21  2s1 2p1 5p1       (0)0(    35.5)    131169111.5000   {X}
   22  2s1 2p1 5d1       (0)0(    59.5)    131619868.3000   {X}
   -1
 70.0    3           4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07 2.45+08 4.90+08 9.80+08 2.45+09 4.90+09 9.80+09
     3     1 3.40+14 5.16-04 5.17-04 5.17-04 5.19-04 5.22-04 5.35-04 5.60-04 6.18-04 7.90-04 1.03-03 1.36-03 1.95-03 2.48-03 3.07-03
     4     1 3.50+12 5.27-03 5.27-03 5.27-03 5.28-03 5.29-03 5.32-03 5.39-03 5.50-03 5.76-03 6.00-03 6.24-03 6.50-03 6.64-03 6.74-03
     5     1 1.78+15 1.98-02 1.98-02 1.99-02 1.99-02 2.00-02 2.04-02 2.12-02 2.28-02 2.74-02 3.34-02 4.15-02 5.51-02 6.71-02 8.00-02
     9     1 1.31+14 1.16-04 1.16-04 1.16-04 1.16-04 1.17-04 1.18-04 1.21-04 1.28-04 1.50-04 1.82-04 2.28-04 3.11-04 3.87-04 4.71-04
    10     1 1.37+12 1.09-03 1.09-03 1.09-03 1.09-03 1.09-03 1.09-03 1.10-03 1.11-03 1.14-03 1.17-03 1.21-03 1.25-03 1.27-03 1.28-03
    11     1 5.69+14 4.06-03 4.06-03 4.06-03 4.07-03 4.09-03 4.13-03 4.23-03 4.43-03 5.02-03 5.81-03 6.92-03 8.79-03 1.04-02 1.22-02
    12     1 7.79+12 8.06-04 8.06-04 8.07-04 8.08-04 8.10-04 8.16-04 8.29-04 8.56-04 9.22-04 9.94-04 1.07-03 1.17-03 1.23-03 1.27-03
    16     1 6.36+13 4.62-05 4.62-05 4.63-05 4.63-05 4.65-05 4.69-05 4.79-05 5.02-05 5.73-05 6.76-05 8.31-05 1.11-04 1.37-04 1.65-04
    17     1 6.70+11 4.18-04 4.18-04 4.18-04 4.18-04 4.19-04 4.20-04 4.22-04 4.26-04 4.36-04 4.47-04 4.58-04 4.71-04 4.78-04 4.83-04
    18     1 2.58+14 1.55-03 1.55-03 1.55-03 1.55-03 1.56-03 1.57-03 1.60-03 1.67-03 1.85-03 2.11-03 2.47-03 3.08-03 3.62-03 4.22-03
    19     1 5.27+12 4.29-04 4.29-04 4.30-04 4.30-04 4.31-04 4.34-04 4.39-04 4.51-04 4.81-04 5.14-04 5.51-04 5.96-04 6.22-04 6.42-04
     2     1 3.21+12 2.02-01 2.02-01 2.04-01 2.07-01 2.13-01 2.30-01 2.50-01 2.77-01 3.21-01 3.58-01 3.98-01 4.53-01 4.95-01 5.39-01
     6     1 1.00-30 8.35-03 8.36-03 8.36-03 8.37-03 8.38-03 8.44-03 8.54-03 8.73-03 9.17-03 9.59-03 1.00-02 1.05-02 1.08-02 1.09-02
     7     1 2.95+14 8.45-03 8.46-03 8.48-03 8.50-03 8.57-03 8.81-03 9.30-03 1.04-02 1.37-02 1.82-02 2.48-02 3.62-02 4.67-02 5.82-02
     8     1 5.23+12 2.16-02 2.16-02 2.16-02 2.17-02 2.17-02 2.18-02 2.20-02 2.25-02 2.35-02 2.44-02 2.55-02 2.66-02 2.72-02 2.77-02
    13     1 1.00-30 1.71-03 1.71-03 1.71-03 1.71-03 1.71-03 1.72-03 1.73-03 1.76-03 1.82-03 1.88-03 1.95-03 2.02-03 2.07-03 2.10-03
    14     1 1.29+14 2.33-03 2.33-03 2.33-03 2.34-03 2.35-03 2.39-03 2.48-03 2.67-03 3.26-03 4.10-03 5.35-03 7.55-03 9.57-03 1.18-02
    15     1 8.74+11 3.93-03 3.93-03 3.93-03 3.93-03 3.93-03 3.94-03 3.96-03 3.99-03 4.07-03 4.15-03 4.23-03 4.32-03 4.37-03 4.41-03
    20     1 1.00-30 6.57-04 6.57-04 6.57-04 6.58-04 6.58-04 6.60-04 6.64-04 6.72-04 6.91-04 7.12-04 7.35-04 7.62-04 7.78-04 7.89-04
    21     1 6.60+13 9.91-04 9.92-04 9.93-04 9.95-04 9.99-04 1.01-03 1.04-03 1.11-03 1.32-03 1.63-03 2.09-03 2.91-03 3.67-03 4.51-03
    22     1 2.60+11 1.42-03 1.42-03 1.42-03 1.42-03 1.43-03 1.43-03 1.43-03 1.44-03 1.46-03 1.48-03 1.50-03 1.52-03 1.53-03 1.54-03
     4     3 5.58+11 2.26-01 2.28-01 2.35-01 2.46-01 2.64-01 3.01-01 3.38-01 3.81-01 4.45-01 4.95-01 5.47-01 6.18-01 6.74-01 7.33-01
     5     3 6.28+07 1.74-02 1.74-02 1.76-02 1.79-02 1.83-02 1.88-02 1.91-02 1.94-02 1.95-02 1.96-02 1.97-02 1.97-02 1.97-02 1.97-02
     9     3 1.00-30 5.28-03 5.28-03 5.30-03 5.32-03 5.37-03 5.54-03 5.79-03 6.14-03 6.70-03 7.10-03 7.43-03 7.74-03 7.88-03 7.98-03
    10     3 6.87+13 2.37-03 2.38-03 2.39-03 2.42-03 2.50-03 2.81-03 3.40-03 4.60-03 7.54-03 1.09-02 1.51-02 2.18-02 2.74-02 3.33-02
    11     3 6.62+11 6.71-03 6.72-03 6.73-03 6.77-03 6.84-03 7.09-03 7.47-03 8.03-03 8.95-03 9.62-03 1.02-02 1.07-02 1.10-02 1.11-02
    16     3 1.00-30 1.08-03 1.08-03 1.08-03 1.08-03 1.09-03 1.11-03 1.14-03 1.18-03 1.26-03 1.33-03 1.38-03 1.43-03 1.46-03 1.47-03
    17     3 3.87+13 6.96-04 6.97-04 7.00-04 7.06-04 7.20-04 7.75-04 8.81-04 1.10-03 1.65-03 2.30-03 3.12-03 4.44-03 5.57-03 6.74-03
    18     3 2.63+11 1.74-03 1.74-03 1.75-03 1.75-03 1.76-03 1.79-03 1.84-03 1.91-03 2.04-03 2.13-03 2.22-03 2.30-03 2.33-03 2.36-03
     5     4 1.62+11 3.51-01 3.55-01 3.70-01 3.92-01 4.26-01 4.88-01 5.44-01 6.08-01 7.00-01 7.71-01 8.44-01 9.43-01 1.02+00 1.11+00
     9     4 8.44+13 2.19-03 2.20-03 2.21-03 2.23-03 2.30-03 2.53-03 2.97-03 3.83-03 5.87-03 8.12-03 1.09-02 1.54-02 1.90-02 2.28-02
    10     4 3.54+11 2.07-02 2.08-02 2.08-02 2.09-02 2.11-02 2.18-02 2.28-02 2.42-02 2.63-02 2.78-02 2.91-02 3.02-02 3.07-02 3.11-02
    11     4 1.73+14 1.89-02 1.90-02 1.91-02 1.94-02 2.01-02 2.25-02 2.69-02 3.50-02 5.34-02 7.30-02 9.69-02 1.34-01 1.64-01 1.95-01
    12     4 9.54+11 3.81-02 3.81-02 3.82-02 3.83-02 3.86-02 3.95-02 4.08-02 4.27-02 4.55-02 4.75-02 4.92-02 5.07-02 5.14-02 5.19-02
    16     4 3.93+13 5.04-04 5.04-04 5.06-04 5.08-04 5.15-04 5.40-04 5.89-04 6.90-04 9.43-04 1.23-03 1.60-03 2.20-03 2.69-03 3.21-03
    17     4 1.88+11 4.34-03 4.34-03 4.34-03 4.35-03 4.38-03 4.45-03 4.57-03 4.75-03 5.05-03 5.27-03 5.46-03 5.64-03 5.73-03 5.79-03
    18     4 8.68+13 5.32-03 5.32-03 5.34-03 5.39-03 5.49-03 5.85-03 6.52-03 7.81-03 1.08-02 1.42-02 1.82-02 2.45-02 2.97-02 3.51-02
    19     4 3.03+10 4.74-03 4.74-03 4.74-03 4.74-03 4.75-03 4.77-03 4.80-03 4.85-03 4.91-03 4.95-03 4.99-03 5.01-03 5.03-03 5.03-03
     9     5 1.57+11 1.13-03 1.13-03 1.13-03 1.14-03 1.15-03 1.19-03 1.25-03 1.33-03 1.46-03 1.54-03 1.61-03 1.67-03 1.70-03 1.72-03
    10     5 1.52+13 2.95-03 2.95-03 2.96-03 2.97-03 3.00-03 3.12-03 3.35-03 3.82-03 4.96-03 6.25-03 7.88-03 1.05-02 1.26-02 1.49-02
    11     5 1.47+11 3.14-02 3.14-02 3.15-02 3.16-02 3.19-02 3.27-02 3.39-02 3.55-02 3.79-02 3.96-02 4.09-02 4.21-02 4.27-02 4.31-02
    12     5 3.44+14 1.37-01 1.38-01 1.38-01 1.40-01 1.43-01 1.54-01 1.73-01 2.07-01 2.79-01 3.52-01 4.38-01 5.67-01 6.71-01 7.78-01
    16     5 8.82+10 2.57-04 2.57-04 2.57-04 2.58-04 2.59-04 2.64-04 2.71-04 2.81-04 2.97-04 3.08-04 3.17-04 3.26-04 3.31-04 3.33-04
    17     5 6.41+12 7.25-04 7.25-04 7.26-04 7.28-04 7.31-04 7.43-04 7.67-04 8.17-04 9.46-04 1.10-03 1.30-03 1.61-03 1.88-03 2.17-03
    18     5 6.71+10 6.24-03 6.24-03 6.25-03 6.26-03 6.28-03 6.36-03 6.47-03 6.65-03 6.95-03 7.16-03 7.34-03 7.51-03 7.59-03 7.64-03
    19     5 1.13+14 2.58-02 2.58-02 2.59-02 2.60-02 2.63-02 2.74-02 2.93-02 3.27-02 4.03-02 4.82-02 5.75-02 7.15-02 8.28-02 9.44-02
    10     9 1.34+11 7.11-01 7.28-01 7.78-01 8.47-01 9.45-01 1.11+00 1.26+00 1.43+00 1.66+00 1.83+00 2.02+00 2.27+00 2.48+00 2.69+00
    11     9 1.10+07 7.92-02 7.96-02 8.04-02 8.13-02 8.23-02 8.35-02 8.41-02 8.46-02 8.50-02 8.52-02 8.53-02 8.54-02 8.55-02 8.55-02
    16     9 1.00-30 1.35-02 1.35-02 1.36-02 1.38-02 1.43-02 1.54-02 1.67-02 1.82-02 2.02-02 2.13-02 2.22-02 2.29-02 2.32-02 2.34-02
    17     9 1.51+13 4.67-03 4.69-03 4.75-03 4.87-03 5.21-03 6.53-03 8.93-03 1.33-02 2.24-02 3.19-02 4.33-02 6.01-02 7.38-02 8.80-02
    18     9 8.55+10 1.07-02 1.07-02 1.08-02 1.11-02 1.15-02 1.27-02 1.43-02 1.61-02 1.86-02 2.01-02 2.12-02 2.22-02 2.27-02 2.30-02
    11    10 4.92+10 1.40+00 1.44+00 1.56+00 1.71+00 1.91+00 2.23+00 2.51+00 2.80+00 3.20+00 3.52+00 3.84+00 4.30+00 4.66+00 5.04+00
    12    10 5.04+05 7.09-02 7.22-02 7.50-02 7.74-02 7.94-02 8.12-02 8.21-02 8.26-02 8.29-02 8.31-02 8.32-02 8.33-02 8.34-02 8.34-02
    16    10 2.76+13 5.58-03 5.60-03 5.69-03 5.86-03 6.30-03 7.95-03 1.07-02 1.55-02 2.50-02 3.46-02 4.58-02 6.21-02 7.52-02 8.87-02
    17    10 6.15+10 5.22-02 5.24-02 5.28-02 5.36-02 5.53-02 5.98-02 6.50-02 7.10-02 7.85-02 8.29-02 8.62-02 8.90-02 9.03-02 9.11-02
    18    10 3.41+13 1.93-02 1.94-02 1.99-02 2.09-02 2.34-02 3.23-02 4.67-02 7.07-02 1.18-01 1.64-01 2.18-01 2.97-01 3.59-01 4.24-01
    19    10 1.44+11 6.08-02 6.09-02 6.14-02 6.23-02 6.41-02 6.90-02 7.48-02 8.14-02 8.98-02 9.49-02 9.86-02 1.02-01 1.03-01 1.04-01
    12    11 2.22+09 1.60+00 1.72+00 1.94+00 2.15+00 2.38+00 2.72+00 2.99+00 3.27+00 3.64+00 3.94+00 4.25+00 4.68+00 5.04+00 5.41+00
    16    11 4.67+10 4.56-03 4.57-03 4.62-03 4.70-03 4.88-03 5.34-03 5.85-03 6.43-03 7.13-03 7.54-03 7.85-03 8.10-03 8.22-03 8.29-03
    17    11 7.56+12 9.94-03 9.95-03 1.00-02 1.01-02 1.04-02 1.16-02 1.37-02 1.75-02 2.54-02 3.35-02 4.31-02 5.72-02 6.85-02 8.02-02
    18    11 3.30+10 8.69-02 8.71-02 8.77-02 8.89-02 9.15-02 9.80-02 1.05-01 1.14-01 1.24-01 1.30-01 1.34-01 1.38-01 1.40-01 1.41-01
    19    11 6.33+13 1.13-01 1.13-01 1.16-01 1.20-01 1.32-01 1.68-01 2.24-01 3.10-01 4.71-01 6.23-01 7.96-01 1.04+00 1.24+00 1.44+00
    17    12 6.90+09 3.11-03 3.12-03 3.14-03 3.17-03 3.25-03 3.42-03 3.61-03 3.82-03 4.09-03 4.25-03 4.37-03 4.47-03 4.52-03 4.55-03
    18    12 1.65+12 1.10-02 1.10-02 1.10-02 1.11-02 1.11-02 1.14-02 1.20-02 1.31-02 1.56-02 1.84-02 2.16-02 2.65-02 3.05-02 3.47-02
    19    12 1.83+10 1.05-01 1.05-01 1.06-01 1.07-01 1.10-01 1.16-01 1.22-01 1.30-01 1.39-01 1.45-01 1.48-01 1.52-01 1.53-01 1.54-01
    17    16 4.36+10 1.71+00 1.79+00 2.00+00 2.25+00 2.56+00 3.05+00 3.47+00 3.91+00 4.50+00 4.97+00 5.45+00 6.11+00 6.63+00 7.16+00
    18    16 2.51+06 2.19-01 2.20-01 2.23-01 2.25-01 2.28-01 2.31-01 2.33-01 2.34-01 2.34-01 2.35-01 2.35-01 2.35-01 2.35-01 2.35-01
    18    17 1.76+10 3.66+00 3.88+00 4.37+00 4.90+00 5.54+00 6.52+00 7.32+00 8.15+00 9.27+00 1.01+01 1.10+01 1.22+01 1.32+01 1.42+01
    19    17 1.65+05 2.88-01 2.93-01 2.99-01 3.04-01 3.07-01 3.10-01 3.11-01 3.12-01 3.13-01 3.13-01 3.13-01 3.13-01 3.13-01 3.13-01
    19    18 1.03+09 5.79+00 6.31+00 7.22+00 8.02+00 8.91+00 1.02+01 1.11+01 1.21+01 1.35+01 1.46+01 1.58+01 1.74+01 1.87+01 2.00+01
    22    18 1.42+12 4.03-01 4.04-01 4.08-01 4.14-01 4.27-01 4.61-01 5.03-01 5.57-01 6.44-01 7.18-01 7.98-01 9.07-01 9.91-01 1.08+00
     6     2 2.79+14 5.17-03 5.18-03 5.18-03 5.20-03 5.23-03 5.35-03 5.61-03 6.19-03 7.91-03 1.03-02 1.37-02 1.95-02 2.48-02 3.07-02
