W + 7        74         8  1139000.0(1S)
    1  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    2  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    3  4dA 4fE 5s2 5p5         (0)0(     2.5)        32943.1000   {X}
    4  4dA 4fE 5s1 5p6         (0)0(     0.5)       376870.7000   {X}
    5  4dA 4fD 5s2 5p5 5d1     (0)0(   419.0)       391773.0000   {X}
    6  4dA 4fE 5s2 5p4 5d1     (0)0(    74.5)       418713.5000   {X}
    7  4dA 4fE 5s2 5p4 6s1     (0)0(    14.5)       549959.3000   {X}
    8  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
    9  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
   10  4dA 4fE 5s2 5p4 6p1     (0)0(    44.5)       647395.0000   {X}
   11  4dA 4fC 5s2 5p6 6p1     (0)0(   272.5)       661781.5000   {X}
   12  4dA 4fE 5s2 5p4 5f1     (0)0(   104.0)       747475.3000   {X}
   13  4dA 4fE 5s1 5p5 5d1     (0)0(    59.5)       750591.9000   {X}
   14  4dA 4fE 5s2 5p4 6d1     (0)0(    74.5)       778772.4000   {X}
   15  4dA 4fE 5s2 5p4 7s1     (0)0(    14.5)       818299.8000   {X}
   16  4dA 4fE 5s2 5p4 7p1     (0)0(    44.5)       863061.6000   {X}
   17  4dA 4fE 5s1 5p5 6s1     (0)0(    11.5)       888399.9000   {X}
   18  4dA 4fE 5s2 5p4 6f1     (0)0(   104.0)       909293.9000   {X}
   19  4dA 4fE 5s2 5p4 7d1     (0)0(    74.5)       926753.1000   {X}
   20  4dA 4fE 5s2 5p4 7f1     (0)0(   104.0)       995327.9000   {X}
   21  4dA 4fB 5s2 5p6 6s2     (0)0(   181.0)      1240590.7000   {X}
   22  4dA 4fB 5s2 5p6 6s1 6p1 (0)0(  2183.5)      1333988.1000   {X}
   -1
  8.0    3           6.40+03 1.28+04 3.20+04 6.40+04 1.28+05 3.20+05 6.40+05 1.28+06 3.20+06 6.40+06 1.28+07 3.20+07 6.40+07 1.28+08
     6     3 2.31+10 4.54+01 4.55+01 4.57+01 4.60+01 4.68+01 4.95+01 5.43+01 6.26+01 8.03+01 9.82+01 1.19+02 1.51+02 1.77+02 2.03+02
    12     3 4.45+06 4.47+00 4.47+00 4.47+00 4.48+00 4.50+00 4.58+00 4.72+00 4.96+00 5.42+00 5.81+00 6.17+00 6.55+00 6.74+00 6.87+00
     7     3 2.72+10 1.54+00 1.54+00 1.55+00 1.57+00 1.60+00 1.74+00 1.99+00 2.49+00 3.73+00 5.14+00 6.91+00 9.75+00 1.21+01 1.46+01
    10     3 1.08+06 3.46+00 3.46+00 3.47+00 3.47+00 3.50+00 3.57+00 3.69+00 3.89+00 4.27+00 4.58+00 4.86+00 5.13+00 5.27+00 5.37+00
    14     3 8.84+08 2.01+00 2.01+00 2.01+00 2.01+00 2.02+00 2.05+00 2.09+00 2.17+00 2.34+00 2.50+00 2.67+00 2.89+00 3.06+00 3.22+00
    18     3 1.81+06 1.31+00 1.31+00 1.31+00 1.32+00 1.32+00 1.34+00 1.36+00 1.41+00 1.50+00 1.58+00 1.66+00 1.74+00 1.78+00 1.81+00
    15     3 1.14+10 2.38-01 2.38-01 2.39-01 2.40-01 2.43-01 2.54-01 2.76-01 3.23-01 4.48-01 6.01-01 8.01-01 1.12+00 1.40+00 1.70+00
    16     3 6.35+05 7.94-01 7.94-01 7.95-01 7.96-01 8.00-01 8.11-01 8.30-01 8.64-01 9.33-01 9.93-01 1.05+00 1.11+00 1.14+00 1.16+00
    19     3 1.49+08 5.78-01 5.78-01 5.78-01 5.79-01 5.80-01 5.85-01 5.92-01 6.06-01 6.34-01 6.60-01 6.85-01 7.17-01 7.38-01 7.56-01
    20     3 8.91+05 5.75-01 5.75-01 5.75-01 5.76-01 5.78-01 5.83-01 5.91-01 6.07-01 6.40-01 6.70-01 6.98-01 7.27-01 7.43-01 7.53-01
     4     3 9.71+10 4.77+00 4.78+00 4.79+00 4.83+00 4.90+00 5.17+00 5.60+00 6.35+00 7.86+00 9.36+00 1.11+01 1.37+01 1.57+01 1.78+01
    13     3 4.34+06 4.86+00 4.86+00 4.87+00 4.88+00 4.89+00 4.94+00 5.03+00 5.18+00 5.46+00 5.70+00 5.91+00 6.13+00 6.24+00 6.32+00
    17     3 1.00-30 8.28-01 8.29-01 8.30-01 8.31-01 8.35-01 8.47-01 8.70-01 9.10-01 9.94-01 1.07+00 1.14+00 1.22+00 1.26+00 1.29+00
