W +71        74        72 158817003.0(1S)
    1  2s1               (0)0(     0.5)            0.0000   {X}
    2  2p1               (0)0(     2.5)      9790418.2000   {X}
    3  3s1               (0)0(     0.5)     89903194.0000   {X}
    4  3p1               (0)0(     2.5)     92752467.1000   {X}
    5  3d1               (0)0(     4.5)     94621918.1000   {X}
    6  4s1               (0)0(     0.5)    120661768.8000   {X}
    7  4p1               (0)0(     2.5)    121854162.9000   {X}
    8  4d1               (0)0(     4.5)    122643042.1000   {X}
    9  5s1               (0)0(     0.5)    134652128.2000   {X}
   10  5p1               (0)0(     2.5)    135256100.2000   {X}
   11  5d1               (0)0(     4.5)    135658759.1000   {X}
   -1
 72.0    3           1.04+06 1.56+06 2.59+06 3.63+06 5.18+06 7.78+06 1.04+07 1.56+07 2.59+07 5.18+07 1.04+08 5.18+08 1.04+09 2.59+09
     2     1 2.90+12 4.00-02 4.02-02 4.04-02 4.06-02 4.10-02 4.17-02 4.24-02 4.36-02 4.59-02 5.01-02 5.56-02 7.16-02 7.95-02 9.03-02
     3     1 1.00-30 1.36-03 1.36-03 1.36-03 1.36-03 1.36-03 1.36-03 1.36-03 1.37-03 1.37-03 1.39-03 1.42-03 1.57-03 1.64-03 1.72-03
     4     1 6.38+14 1.43-03 1.43-03 1.43-03 1.43-03 1.43-03 1.44-03 1.45-03 1.46-03 1.49-03 1.57-03 1.76-03 3.11-03 4.23-03 6.17-03
     5     1 1.13+13 3.62-03 3.62-03 3.62-03 3.62-03 3.62-03 3.63-03 3.63-03 3.64-03 3.65-03 3.69-03 3.76-03 4.09-03 4.26-03 4.44-03
     6     1 1.00-30 2.79-04 2.79-04 2.79-04 2.79-04 2.79-04 2.79-04 2.79-04 2.80-04 2.80-04 2.82-04 2.87-04 3.06-04 3.17-04 3.30-04
     7     1 2.80+14 3.91-04 3.91-04 3.91-04 3.91-04 3.92-04 3.93-04 3.94-04 3.96-04 4.01-04 4.16-04 4.49-04 6.92-04 9.02-04 1.27-03
     8     1 1.76+12 6.38-04 6.38-04 6.38-04 6.38-04 6.38-04 6.38-04 6.39-04 6.39-04 6.40-04 6.43-04 6.48-04 6.72-04 6.84-04 6.98-04
     9     1 1.00-30 1.07-04 1.07-04 1.07-04 1.07-04 1.07-04 1.07-04 1.07-04 1.07-04 1.07-04 1.08-04 1.09-04 1.16-04 1.20-04 1.24-04
    10     1 1.43+14 1.66-04 1.66-04 1.66-04 1.66-04 1.66-04 1.67-04 1.67-04 1.68-04 1.69-04 1.75-04 1.86-04 2.74-04 3.51-04 4.88-04
    11     1 4.94+11 2.29-04 2.29-04 2.29-04 2.29-04 2.29-04 2.29-04 2.29-04 2.29-04 2.29-04 2.30-04 2.31-04 2.36-04 2.39-04 2.42-04
     3     2 3.48+14 4.93-04 4.93-04 4.93-04 4.94-04 4.95-04 4.96-04 4.98-04 5.02-04 5.10-04 5.34-04 5.89-04 9.76-04 1.29-03 1.84-03
