W +71        74        72 158817000.0(1S)
    1  2s1               (2)0(     0.5)            0.0000   {X}
    2  2p1               (2)1(     0.5)      2074576.8000   {X}
    3  2p1               (2)1(     1.5)     13648345.1000   {X}
    4  3s1               (2)0(     0.5)     89903238.5000   {X}
    5  3p1               (2)1(     0.5)     90438214.4000   {X}
    6  3p1               (2)1(     1.5)     93909662.2000   {X}
    7  3d1               (2)2(     1.5)     94055607.7000   {X}
    8  3d1               (2)2(     2.5)     94999541.7000   {X}
    9  4s1               (2)0(     0.5)    120661800.0000   {X}
   10  4p1               (2)1(     0.5)    120881150.0000   {X}
   11  4p1               (2)1(     1.5)    122340725.0000   {X}
   12  4d1               (2)2(     1.5)    122402665.0000   {X}
   13  4d1               (2)2(     2.5)    122803390.0000   {X}
   14  4f1               (2)3(     2.5)    122828420.0000   {X}
   15  4f1               (2)3(     3.5)    123019660.0000   {X}
   16  5s1               (2)0(     0.5)    134652200.0000   {X}
   17  5p1               (2)1(     0.5)    134760500.0000   {X}
   18  5p1               (2)1(     1.5)    135504050.0000   {X}
   19  5d1               (2)2(     1.5)    135535575.0000   {X}
   20  5d1               (2)2(     2.5)    135740950.0000   {X}
   -1
 72.0    3           5.18+05 1.04+06 2.59+06 5.18+06 1.04+07 2.59+07 5.18+07 1.04+08 2.59+08 5.18+08 1.04+09 2.59+09 5.18+09 1.04+10
     2     1 2.76+10 1.62-02 1.64-02 1.73-02 1.86-02 2.05-02 2.38-02 2.66-02 2.95-02 3.33-02 3.62-02 3.90-02 4.27-02 4.55-02 4.83-02
     3     1 7.86+12 2.47-02 2.48-02 2.49-02 2.52-02 2.58-02 2.74-02 2.96-02 3.28-02 3.81-02 4.28-02 4.79-02 5.50-02 6.05-02 6.61-02
     4     1 1.00-30 1.36-03 1.36-03 1.36-03 1.36-03 1.37-03 1.38-03 1.39-03 1.43-03 1.50-03 1.57-03 1.64-03 1.72-03 1.76-03 1.79-03
     5     1 5.92+14 4.91-04 4.91-04 4.93-04 4.95-04 5.00-04 5.15-04 5.44-04 6.10-04 8.03-04 1.07-03 1.45-03 2.11-03 2.71-03 3.36-03
     6     1 6.62+14 9.38-04 9.39-04 9.41-04 9.45-04 9.54-04 9.83-04 1.04-03 1.16-03 1.53-03 2.04-03 2.79-03 4.10-03 5.28-03 6.57-03
     7     1 1.09+13 1.45-03 1.45-03 1.45-03 1.45-03 1.45-03 1.46-03 1.48-03 1.51-03 1.57-03 1.64-03 1.70-03 1.78-03 1.82-03 1.85-03
     8     1 1.15+13 2.17-03 2.17-03 2.17-03 2.17-03 2.18-03 2.19-03 2.21-03 2.26-03 2.36-03 2.45-03 2.56-03 2.67-03 2.73-03 2.77-03
     9     1 1.00-30 2.79-04 2.79-04 2.79-04 2.79-04 2.80-04 2.81-04 2.83-04 2.87-04 2.97-04 3.07-04 3.18-04 3.30-04 3.37-04 3.42-04
    10     1 2.73+14 1.32-04 1.32-04 1.32-04 1.33-04 1.33-04 1.36-04 1.41-04 1.52-04 1.85-04 2.33-04 3.03-04 4.28-04 5.42-04 6.67-04
    11     1 2.83+14 2.60-04 2.60-04 2.60-04 2.61-04 2.63-04 2.68-04 2.78-04 2.99-04 3.65-04 4.59-04 5.99-04 8.48-04 1.08-03 1.33-03
    12     1 1.74+12 2.56-04 2.56-04 2.56-04 2.56-04 2.56-04 2.57-04 2.58-04 2.60-04 2.64-04 2.69-04 2.74-04 2.80-04 2.83-04 2.85-04
    13     1 1.77+12 3.84-04 3.84-04 3.84-04 3.84-04 3.85-04 3.85-04 3.87-04 3.90-04 3.97-04 4.04-04 4.11-04 4.20-04 4.24-04 4.27-04
    16     1 1.00-30 1.07-04 1.07-04 1.07-04 1.07-04 1.07-04 1.08-04 1.08-04 1.10-04 1.13-04 1.16-04 1.20-04 1.24-04 1.27-04 1.29-04
    17     1 1.41+14 5.56-05 5.56-05 5.57-05 5.58-05 5.61-05 5.71-05 5.88-05 6.27-05 7.46-05 9.18-05 1.17-04 1.64-04 2.06-04 2.53-04
    18     1 1.44+14 1.11-04 1.11-04 1.11-04 1.11-04 1.12-04 1.14-04 1.17-04 1.25-04 1.48-04 1.83-04 2.34-04 3.26-04 4.11-04 5.03-04
    19     1 4.92+11 9.18-05 9.18-05 9.18-05 9.18-05 9.19-05 9.20-05 9.22-05 9.27-05 9.37-05 9.48-05 9.59-05 9.72-05 9.78-05 9.83-05
    20     1 4.96+11 1.38-04 1.38-04 1.38-04 1.38-04 1.38-04 1.38-04 1.38-04 1.39-04 1.41-04 1.42-04 1.44-04 1.46-04 1.47-04 1.47-04
     3     2 1.41+10 9.42-04 9.45-04 9.57-04 9.76-04 1.02-03 1.12-03 1.22-03 1.34-03 1.45-03 1.50-03 1.53-03 1.56-03 1.56-03 1.57-03
     4     2 1.53+14 1.53-04 1.53-04 1.53-04 1.54-04 1.55-04 1.58-04 1.65-04 1.80-04 2.28-04 2.96-04 3.96-04 5.75-04 7.39-04 9.20-04
     5     2 1.00-30 1.45-03 1.45-03 1.45-03 1.45-03 1.45-03 1.46-03 1.48-03 1.51-03 1.58-03 1.64-03 1.70-03 1.77-03 1.81-03 1.84-03
     6     2 3.19+12 2.53-04 2.53-04 2.53-04 2.54-04 2.55-04 2.57-04 2.62-04 2.71-04 2.91-04 3.11-04 3.32-04 3.55-04 3.67-04 3.76-04
     7     2 2.00+15 6.21-03 6.21-03 6.22-03 6.24-03 6.28-03 6.41-03 6.64-03 7.15-03 8.58-03 1.05-02 1.31-02 1.76-02 2.16-02 2.58-02
     9     2 5.50+13 3.59-05 3.59-05 3.59-05 3.60-05 3.62-05 3.66-05 3.75-05 3.95-05 4.57-05 5.50-05 6.90-05 9.46-05 1.18-04 1.44-04
    10     2 1.00-30 2.90-04 2.90-04 2.90-04 2.90-04 2.91-04 2.92-04 2.93-04 2.97-04 3.05-04 3.13-04 3.22-04 3.32-04 3.38-04 3.41-04
    11     2 1.07+12 6.05-05 6.05-05 6.05-05 6.06-05 6.07-05 6.10-05 6.16-05 6.27-05 6.54-05 6.81-05 7.10-05 7.43-05 7.61-05 7.74-05
    12     2 6.03+14 1.27-03 1.27-03 1.27-03 1.27-03 1.28-03 1.30-03 1.33-03 1.39-03 1.57-03 1.82-03 2.17-03 2.78-03 3.31-03 3.88-03
    14     2 9.68+12 2.70-04 2.70-04 2.70-04 2.71-04 2.71-04 2.74-04 2.78-04 2.88-04 3.11-04 3.36-04 3.65-04 4.00-04 4.21-04 4.36-04
    16     2 2.62+13 1.45-05 1.45-05 1.45-05 1.45-05 1.46-05 1.47-05 1.50-05 1.56-05 1.77-05 2.08-05 2.54-05 3.41-05 4.21-05 5.10-05
    17     2 1.00-30 1.11-04 1.11-04 1.11-04 1.11-04 1.11-04 1.11-04 1.12-04 1.13-04 1.15-04 1.18-04 1.21-04 1.24-04 1.26-04 1.27-04
    18     2 4.97+11 2.45-05 2.45-05 2.45-05 2.45-05 2.46-05 2.47-05 2.49-05 2.52-05 2.61-05 2.70-05 2.79-05 2.90-05 2.96-05 3.01-05
    19     2 2.68+14 4.87-04 4.87-04 4.87-04 4.88-04 4.90-04 4.95-04 5.04-04 5.23-04 5.81-04 6.60-04 7.73-04 9.69-04 1.14-03 1.33-03
     4     3 2.00+14 3.43-04 3.43-04 3.44-04 3.45-04 3.48-04 3.57-04 3.75-04 4.14-04 5.30-04 6.86-04 9.07-04 1.29-03 1.63-03 1.99-03
     5     3 2.60+12 2.69-04 2.69-04 2.69-04 2.70-04 2.71-04 2.74-04 2.79-04 2.89-04 3.08-04 3.27-04 3.44-04 3.63-04 3.73-04 3.79-04
     6     3 1.62+12 3.23-03 3.23-03 3.23-03 3.24-03 3.24-03 3.27-03 3.31-03 3.37-03 3.52-03 3.66-03 3.79-03 3.94-03 4.01-03 4.07-03
     7     3 2.68+14 1.38-03 1.38-03 1.38-03 1.39-03 1.40-03 1.43-03 1.48-03 1.60-03 1.93-03 2.35-03 2.91-03 3.85-03 4.65-03 5.52-03
     8     3 1.66+15 1.23-02 1.23-02 1.23-02 1.24-02 1.25-02 1.27-02 1.32-02 1.43-02 1.72-02 2.09-02 2.60-02 3.43-02 4.16-02 4.94-02
     9     3 8.08+13 7.68-05 7.68-05 7.69-05 7.71-05 7.74-05 7.85-05 8.06-05 8.52-05 9.96-05 1.20-04 1.50-04 2.04-04 2.52-04 3.06-04
    10     3 1.20+12 6.22-05 6.22-05 6.22-05 6.23-05 6.24-05 6.28-05 6.34-05 6.46-05 6.72-05 6.97-05 7.23-05 7.51-05 7.66-05 7.77-05
    11     3 6.43+11 6.52-04 6.52-04 6.52-04 6.53-04 6.53-04 6.56-04 6.60-04 6.67-04 6.85-04 7.03-04 7.22-04 7.42-04 7.54-04 7.61-04
    12     3 8.90+13 2.72-04 2.72-04 2.72-04 2.73-04 2.74-04 2.78-04 2.84-04 2.98-04 3.38-04 3.90-04 4.64-04 5.88-04 6.96-04 8.12-04
    13     3 5.40+14 2.44-03 2.44-03 2.44-03 2.45-03 2.46-03 2.49-03 2.55-03 2.68-03 3.04-03 3.51-03 4.17-03 5.28-03 6.25-03 7.30-03
    14     3 1.67+12 8.13-05 8.13-05 8.14-05 8.15-05 8.17-05 8.25-05 8.39-05 8.65-05 9.31-05 1.00-04 1.08-04 1.17-04 1.22-04 1.26-04
