W +73        74        74 651338010.0(1S)
    1  1s1               (2)0(     0.5)            0.0000   {X}
    2  2s1               (2)0(     0.5)    483724200.0000   {X}
    3  2p1               (2)1(     0.5)    484091710.0000   {X}
    4  2p1               (2)1(     1.5)    496940995.0000   {X}
    5  3s1               (2)0(     0.5)    577427600.0000   {X}
    6  3p1               (2)1(     0.5)    577511920.0000   {X}
    7  3d1               (2)2(     1.5)    581355175.0000   {X}
    8  3p1               (2)1(     1.5)    581368690.0000   {X}
    9  3d1               (2)2(     2.5)    582413550.0000   {X}
   10  4s1               (2)0(     0.5)    609689500.0000   {X}
   11  4p1               (2)1(     0.5)    609715500.0000   {X}
   12  4d1               (2)2(     1.5)    611332870.0000   {X}
   13  4p1               (2)1(     1.5)    611337300.0000   {X}
   14  4d1               (2)2(     2.5)    611782420.0000   {X}
   15  5s1               (2)0(     0.5)    624387700.0000   {X}
   16  5p1               (2)1(     0.5)    624398320.0000   {X}
   17  5d1               (2)2(     1.5)    625222645.0000   {X}
   18  5p1               (2)1(     1.5)    625224490.0000   {X}
   19  5d1               (2)2(     2.5)    625453070.0000   {X}
   -1
 74.0    3           5.48+05 1.10+06 2.74+06 5.48+06 1.10+07 2.74+07 5.48+07 1.10+08 2.74+08 5.48+08 1.10+09 2.74+09 5.48+09 1.10+10
     2     1 1.00-30 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.56-04 1.57-04 1.58-04 1.61-04 1.64-04 1.70-04 1.75-04 1.79-04
     3     1 1.96+16 2.62-04 2.62-04 2.62-04 2.62-04 2.62-04 2.63-04 2.65-04 2.68-04 2.77-04 2.95-04 3.30-04 4.11-04 5.03-04 6.16-04
     4     1 2.12+16 5.14-04 5.14-04 5.14-04 5.14-04 5.15-04 5.16-04 5.19-04 5.25-04 5.44-04 5.79-04 6.46-04 8.06-04 9.86-04 1.21-03
     5     1 1.00-30 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.92-05 2.93-05 2.93-05 2.95-05 2.98-05 3.03-05 3.11-05 3.18-05 3.24-05
     6     1 4.98+15 4.96-05 4.96-05 4.96-05 4.96-05 4.96-05 4.98-05 5.00-05 5.04-05 5.17-05 5.41-05 5.90-05 7.07-05 8.40-05 1.01-04
     7     1 1.07+14 4.92-06 4.92-06 4.92-06 4.92-06 4.92-06 4.93-06 4.94-06 4.97-06 5.06-06 5.20-06 5.45-06 5.93-06 6.34-06 6.72-06
     8     1 5.08+15 9.87-05 9.87-05 9.87-05 9.87-05 9.88-05 9.90-05 9.94-05 1.00-04 1.03-04 1.08-04 1.17-04 1.41-04 1.67-04 2.00-04
     9     1 1.08+14 7.38-06 7.38-06 7.38-06 7.38-06 7.38-06 7.40-06 7.42-06 7.46-06 7.58-06 7.80-06 8.17-06 8.89-06 9.51-06 1.01-05
    10     1 1.00-30 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.05-05 1.06-05 1.07-05 1.08-05 1.11-05 1.13-05 1.15-05
    11     1 1.97+15 1.79-05 1.79-05 1.79-05 1.79-05 1.79-05 1.79-05 1.80-05 1.82-05 1.86-05 1.94-05 2.10-05 2.49-05 2.93-05 3.49-05
    12     1 5.84+13 2.41-06 2.41-06 2.41-06 2.41-06 2.41-06 2.41-06 2.42-06 2.43-06 2.47-06 2.54-06 2.65-06 2.86-06 3.05-06 3.22-06
    13     1 1.98+15 3.58-05 3.58-05 3.58-05 3.58-05 3.58-05 3.59-05 3.60-05 3.63-05 3.72-05 3.88-05 4.19-05 4.96-05 5.85-05 6.96-05
    14     1 5.86+13 3.62-06 3.62-06 3.62-06 3.62-06 3.62-06 3.63-06 3.64-06 3.65-06 3.71-06 3.80-06 3.97-06 4.30-06 4.58-06 4.84-06
    15     1 1.00-30 5.00-06 5.00-06 5.00-06 5.00-06 5.00-06 5.00-06 5.01-06 5.02-06 5.04-06 5.08-06 5.15-06 5.27-06 5.37-06 5.46-06
    16     1 9.71+14 8.54-06 8.54-06 8.54-06 8.54-06 8.55-06 8.56-06 8.59-06 8.65-06 8.85-06 9.22-06 9.95-06 1.17-05 1.37-05 1.63-05
    17     1 3.27+13 1.29-06 1.29-06 1.29-06 1.29-06 1.29-06 1.29-06 1.30-06 1.30-06 1.32-06 1.35-06 1.41-06 1.52-06 1.62-06 1.71-06
    18     1 9.75+14 1.71-05 1.71-05 1.71-05 1.71-05 1.71-05 1.71-05 1.72-05 1.73-05 1.77-05 1.85-05 1.99-05 2.34-05 2.75-05 3.26-05
    19     1 3.28+13 1.93-06 1.93-06 1.93-06 1.93-06 1.93-06 1.93-06 1.94-06 1.95-06 1.98-06 2.03-06 2.11-06 2.28-06 2.43-06 2.56-06
     3     2 1.46+08 1.77-02 1.93-02 2.27-02 2.60-02 2.97-02 3.46-02 3.80-02 4.12-02 4.51-02 4.79-02 5.06-02 5.42-02 5.69-02 5.95-02
     4     2 6.80+12 2.39-02 2.40-02 2.42-02 2.45-02 2.51-02 2.69-02 2.91-02 3.22-02 3.74-02 4.20-02 4.69-02 5.37-02 5.89-02 6.42-02
     5     2 1.00-30 1.32-03 1.32-03 1.32-03 1.32-03 1.33-03 1.34-03 1.35-03 1.39-03 1.46-03 1.53-03 1.60-03 1.67-03 1.71-03 1.74-03
     6     2 6.67+14 5.07-04 5.07-04 5.09-04 5.11-04 5.16-04 5.32-04 5.63-04 6.31-04 8.31-04 1.10-03 1.49-03 2.17-03 2.77-03 3.43-03
     7     2 1.23+13 1.42-03 1.42-03 1.42-03 1.42-03 1.42-03 1.43-03 1.45-03 1.48-03 1.54-03 1.60-03 1.67-03 1.74-03 1.78-03 1.80-03
     8     2 7.52+14 9.66-04 9.67-04 9.69-04 9.73-04 9.83-04 1.01-03 1.07-03 1.20-03 1.58-03 2.11-03 2.86-03 4.19-03 5.39-03 6.70-03
     9     2 1.30+13 2.12-03 2.12-03 2.12-03 2.12-03 2.13-03 2.14-03 2.16-03 2.21-03 2.30-03 2.40-03 2.50-03 2.61-03 2.67-03 2.71-03
    10     2 1.00-30 2.70-04 2.70-04 2.70-04 2.70-04 2.71-04 2.72-04 2.74-04 2.78-04 2.88-04 2.98-04 3.08-04 3.20-04 3.27-04 3.32-04
    11     2 3.05+14 1.33-04 1.33-04 1.33-04 1.34-04 1.35-04 1.37-04 1.42-04 1.54-04 1.87-04 2.35-04 3.05-04 4.30-04 5.43-04 6.67-04
    12     2 1.84+12 2.44-04 2.44-04 2.44-04 2.44-04 2.44-04 2.45-04 2.46-04 2.48-04 2.52-04 2.57-04 2.61-04 2.67-04 2.69-04 2.71-04
    13     2 3.17+14 2.63-04 2.63-04 2.63-04 2.64-04 2.66-04 2.71-04 2.81-04 3.03-04 3.69-04 4.64-04 6.03-04 8.51-04 1.08-03 1.32-03
    14     2 1.87+12 3.66-04 3.66-04 3.66-04 3.66-04 3.67-04 3.67-04 3.69-04 3.72-04 3.79-04 3.85-04 3.92-04 4.00-04 4.04-04 4.07-04
    15     2 1.00-30 1.04-04 1.04-04 1.04-04 1.04-04 1.04-04 1.05-04 1.05-04 1.07-04 1.10-04 1.13-04 1.16-04 1.21-04 1.23-04 1.25-04
    16     2 1.58+14 5.60-05 5.60-05 5.61-05 5.62-05 5.65-05 5.75-05 5.92-05 6.31-05 7.51-05 9.22-05 1.18-04 1.64-04 2.05-04 2.51-04
    17     2 4.96+11 8.69-05 8.69-05 8.69-05 8.69-05 8.70-05 8.71-05 8.73-05 8.77-05 8.87-05 8.96-05 9.06-05 9.17-05 9.23-05 9.28-05
    18     2 1.60+14 1.11-04 1.11-04 1.11-04 1.11-04 1.12-04 1.14-04 1.17-04 1.25-04 1.49-04 1.83-04 2.34-04 3.25-04 4.08-04 4.99-04
    19     2 5.00+11 1.30-04 1.30-04 1.30-04 1.30-04 1.30-04 1.30-04 1.31-04 1.32-04 1.33-04 1.34-04 1.36-04 1.38-04 1.39-04 1.39-04
     4     3 1.94+10 9.20-04 9.23-04 9.33-04 9.50-04 9.85-04 1.08-03 1.17-03 1.28-03 1.38-03 1.43-03 1.46-03 1.48-03 1.48-03 1.49-03
     5     3 1.66+14 1.40-04 1.40-04 1.40-04 1.41-04 1.42-04 1.45-04 1.51-04 1.64-04 2.07-04 2.67-04 3.57-04 5.17-04 6.64-04 8.28-04
     6     3 1.00-30 1.38-03 1.38-03 1.38-03 1.38-03 1.39-03 1.40-03 1.41-03 1.44-03 1.50-03 1.56-03 1.63-03 1.69-03 1.73-03 1.75-03
     7     3 2.26+15 5.91-03 5.91-03 5.92-03 5.94-03 5.98-03 6.10-03 6.32-03 6.80-03 8.18-03 9.98-03 1.25-02 1.68-02 2.06-02 2.46-02
