iter	RMSE
0	2.461893092
1	2.45458478
2	2.448753757
3	2.44375666
4	2.438079033
5	2.43383671
6	2.43036596
7	2.428258088
8	2.425497349
9	2.422990238
10	2.420756602
11	2.418878673
12	2.416509215
13	2.415017465
14	2.414321157
15	2.411486306
16	2.409231032
17	2.407456504
18	2.405841563
19	2.403833206
20	2.401878093
21	2.400592297
22	2.3990219
23	2.397596236
24	2.396041346
25	2.394759941
26	2.394098192
27	2.393344494
28	2.391427309
29	2.39049498
30	2.38882651
31	2.388035522
32	2.386898966
33	2.386613262
34	2.385965
35	2.384320996
36	2.384172733
37	2.382364837
38	2.381046614
39	2.379824432
40	2.379155655
41	2.378120419
42	2.376577909
43	2.375530403
44	2.375053647
45	2.374292517
46	2.373492049
47	2.373116174
48	2.372579196
49	2.371678589
50	2.370917694
51	2.369180445
52	2.368303442
53	2.367486932
54	2.366608053
55	2.365740091
56	2.364748312
57	2.363447246
58	2.362641941
59	2.362256495
60	2.361151805
61	2.360628444
62	2.35924694
63	2.358120132
64	2.357339495
65	2.356701169
66	2.355870329
67	2.355449878
68	2.354896023
69	2.354559944
70	2.353749349
71	2.353368256
72	2.352824981
73	2.352523063
74	2.351789703
75	2.351472855
76	2.350493315
77	2.350221689
78	2.349820064
79	2.349596207
80	2.349321744
81	2.348574781
82	2.34817623
83	2.347938904
84	2.347547179
85	2.346772982
86	2.346366043
87	2.346154489
88	2.345843462
89	2.345238302
90	2.344523439
91	2.343730825
92	2.343057752
93	2.342452306
94	2.34222097
95	2.341993947
96	2.341474201
97	2.340900782
98	2.340425752
99	2.339950756
100	2.339705367
101	2.339399617
102	2.339043175
103	2.338665295
104	2.338232666
105	2.337708335
106	2.336975828
107	2.336624851
108	2.336383776
109	2.335705113
110	2.335394977
111	2.335032323
112	2.334166221
113	2.333750311
114	2.333323815
115	2.332546513
116	2.33182766
117	2.331489406
118	2.331327797
119	2.331013179
120	2.330450975
121	2.330225694
122	2.330036951
123	2.329786318
124	2.329200277
125	2.328637861
126	2.328383103
127	2.328080676
128	2.327773653
129	2.327647443
130	2.327243802
131	2.326731895
132	2.326573295
133	2.326116597
134	2.325795842
135	2.325448737
136	2.325111718
137	2.324526816
138	2.32411856
139	2.323726227
140	2.322978984
141	2.322497914
142	2.322049166
143	2.321670068
144	2.321227389
145	2.320864301
146	2.320543804
147	2.320218997
148	2.319656332
149	2.319268164
150	2.318882986
151	2.318069611
152	2.317461064
153	2.317096439
154	2.316818749
155	2.31643811
156	2.315831184
157	2.315390434
158	2.314929085
159	2.314521763
160	2.313956757
161	2.313556769
162	2.313200801
163	2.312747488
164	2.312364936
165	2.311906681
166	2.311507461
167	2.311215654
168	2.310820589
169	2.310445951
170	2.31001986
171	2.309598338
172	2.309297182
173	2.309007236
174	2.3087223
175	2.308273918
176	2.307934667
177	2.307593031
178	2.307218106
179	2.306912875
180	2.306618176
181	2.306242693
182	2.305898305
183	2.305584836
184	2.305211641
185	2.304894278
186	2.304370513
187	2.303941438
188	2.30365634
189	2.303279986
190	2.302586748
191	2.302149377
192	2.301662885
193	2.301339089
194	2.300979101
195	2.300698444
196	2.30021255
197	2.299784092
198	2.299426867
199	2.299165532
200	2.298696138
201	2.298360048
202	2.298022123
203	2.297723923
204	2.297427154
205	2.297142629
206	2.296715939
207	2.296303125
208	2.295932307
209	2.295550263
210	2.295209807
211	2.294923122
212	2.294362642
213	2.294107208
214	2.293897452
215	2.29364676
216	2.293350136
217	2.293011685
218	2.292720591
