iter	Passed	Remaining
0	22	22244
1	42	21190
2	50	16857
3	57	14206
4	63	12562
5	69	11469
6	75	10668
7	79	9836
8	85	9362
9	90	8999
10	96	8701
11	103	8505
12	109	8283
13	114	8092
14	119	7852
15	125	7712
16	131	7590
17	137	7519
18	143	7429
19	150	7361
20	156	7283
21	162	7244
22	168	7175
23	175	7124
24	181	7065
25	187	7013
26	193	6972
27	199	6917
28	205	6872
29	211	6823
30	216	6777
31	222	6745
32	228	6708
33	233	6632
34	239	6609
35	245	6573
36	249	6495
37	255	6468
38	261	6442
39	267	6424
40	273	6399
41	279	6376
42	285	6348
43	291	6327
44	297	6309
45	303	6297
46	309	6276
47	315	6256
48	321	6238
49	327	6216
50	333	6198
51	339	6183
52	345	6169
53	351	6152
54	357	6141
55	363	6133
56	369	6118
57	375	6100
58	381	6088
59	387	6075
60	393	6063
61	399	6048
62	405	6033
63	411	6018
64	417	6004
65	423	5994
66	429	5983
67	435	5971
68	441	5961
69	447	5946
70	454	5947
71	460	5936
72	466	5929
73	472	5917
74	478	5905
75	484	5896
76	490	5883
77	496	5872
78	502	5861
79	508	5847
80	514	5839
81	520	5827
82	526	5818
83	532	5807
84	538	5799
85	547	5819
86	553	5809
87	559	5802
88	565	5792
89	571	5780
90	577	5770
91	583	5758
92	591	5771
93	601	5801
94	608	5792
95	613	5779
96	619	5768
97	625	5757
98	631	5747
99	637	5740
100	643	5730
101	649	5720
102	655	5709
103	661	5698
104	667	5690
105	673	5679
106	680	5676
107	693	5731
108	707	5786
109	717	5808
110	730	5851
111	744	5900
112	750	5894
113	759	5906
114	774	5960
115	788	6007
116	801	6051
117	816	6104
118	831	6155
119	846	6204
120	859	6245
121	873	6282
122	885	6317
123	896	6336
124	903	6321
125	908	6303
126	914	6288
127	920	6272
128	926	6257
129	933	6244
130	938	6228
131	944	6213
132	950	6198
133	956	6184
134	963	6171
135	969	6156
136	975	6143
137	981	6130
138	987	6115
139	993	6101
140	999	6088
141	1005	6075
142	1011	6061
143	1017	6047
144	1023	6034
145	1029	6021
146	1036	6012
147	1041	5998
148	1048	5986
149	1054	5974
150	1060	5963
151	1066	5951
152	1072	5939
153	1078	5926
154	1088	5932
155	1094	5919
156	1100	5907
157	1106	5894
158	1112	5882
159	1118	5870
160	1124	5857
161	1130	5847
162	1136	5835
163	1142	5826
164	1149	5814
165	1155	5803
166	1161	5794
167	1168	5785
168	1174	5777
169	1182	5771
170	1188	5763
171	1195	5755
172	1206	5767
173	1213	5760
174	1220	5752
175	1226	5743
176	1233	5733
177	1239	5722
178	1245	5713
179	1251	5701
180	1257	5691
181	1263	5679
182	1269	5669
183	1275	5657
184	1281	5646
185	1287	5636
186	1293	5625
187	1299	5613
188	1305	5601
189	1311	5590
190	1317	5579
191	1323	5568
192	1329	5558
193	1335	5548
194	1341	5537
195	1347	5529
196	1355	5524
197	1361	5514
198	1367	5505
199	1373	5495
200	1380	5489
201	1386	5478
202	1392	5468
203	1398	5458
204	1404	5447
205	1411	5438
206	1417	5429
207	1423	5420
208	1429	5410
209	1438	5409
210	1444	5401
211	1450	5392
212	1457	5384
213	1464	5377
214	1471	5371
215	1478	5365
216	1492	5385
217	1498	5376
218	1504	5366
219	1511	5357
220	1517	5347
221	1523	5337
222	1529	5329
223	1535	5319
224	1541	5308
225	1547	5298
226	1553	5288
227	1559	5278
228	1565	5269
229	1571	5261
230	1577	5252
231	1583	5242
232	1589	5233
233	1595	5223
234	1602	5215
235	1610	5214
236	1616	5204
237	1622	5194
238	1628	5184
239	1635	5178
240	1641	5169
241	1647	5160
242	1653	5150
243	1659	5141
244	1665	5132
245	1671	5122
246	1677	5114
247	1684	5107
248	1690	5097
249	1696	5089
250	1702	5080
251	1708	5071
252	1714	5061
253	1720	5052
254	1726	5044
255	1732	5035
256	1738	5025
257	1744	5017
258	1750	5007
259	1756	4999
260	1762	4990
261	1768	4981
262	1774	4971
263	1781	4966
264	1787	4957
265	1793	4948
266	1799	4939
267	1805	4932
268	1811	4923
269	1818	4915
270	1823	4906
271	1829	4897
272	1835	4887
273	1841	4879
274	1847	4870
275	1853	4862
276	1859	4853
277	1865	4844
278	1871	4835
279	1877	4828
280	1883	4819
281	1889	4810
282	1895	4803
283	1901	4794
284	1907	4785
285	1913	4777
286	1919	4769
287	1925	4760
288	1931	4753
289	1937	4744
290	1944	4736
291	1949	4727
292	1956	4720
293	1962	4711
294	1968	4703
295	1980	4711
296	1987	4705
297	1993	4696
298	1999	4688
299	2005	4680
300	2011	4672
301	2017	4663
302	2023	4655
303	2029	4647
304	2035	4638
305	2041	4630
306	2047	4622
307	2053	4614
308	2059	4605
309	2066	4598
310	2071	4590
311	2077	4582
312	2083	4573
313	2089	4565
314	2095	4557
315	2101	4549
316	2107	4541
317	2113	4533
318	2119	4525
319	2126	4517
320	2131	4509
321	2137	4501
322	2143	4493
323	2150	4487
324	2156	4478
325	2162	4470
326	2168	4463
327	2174	4455
328	2180	4447
329	2186	4439
330	2192	4431
331	2198	4423
332	2204	4414
333	2210	4406
334	2216	4399
335	2222	4391
336	2227	4383
337	2233	4374
338	2239	4366
339	2245	4359
340	2251	4351
341	2257	4344
342	2263	4335
343	2269	4328
344	2275	4320
345	2282	4313
346	2288	4305
347	2294	4298
348	2299	4290
349	2305	4282
350	2311	4274
351	2317	4266
352	2323	4258
353	2329	4250
354	2335	4243
355	2341	4235
356	2347	4227
357	2353	4219
358	2359	4212
359	2364	4204
360	2371	4197
361	2376	4189
362	2383	4182
363	2389	4174
364	2395	4166
365	2400	4159
366	2406	4151
367	2413	4144
368	2419	4137
369	2425	4129
370	2431	4122
371	2437	4114
372	2443	4107
373	2449	4099
374	2455	4092
375	2466	4092
376	2472	4085
377	2477	4077
378	2483	4069
379	2492	4065
380	2498	4058
381	2504	4051
382	2510	4043
383	2516	4036
384	2522	4028
385	2527	4021
386	2533	4013
387	2539	4006
388	2545	3998
389	2552	3991
390	2558	3984
391	2564	3976
392	2570	3969
393	2576	3962
394	2582	3955
395	2588	3947
396	2594	3940
397	2600	3933
398	2606	3925
399	2612	3918
400	2618	3911
401	2624	3904
402	2630	3896
403	2636	3888
404	2642	3881
405	2647	3874
406	2653	3866
407	2659	3859
408	2666	3852
409	2671	3844
410	2677	3837
411	2684	3830
412	2689	3823
413	2695	3815
414	2702	3810
415	2708	3802
416	2714	3795
417	2720	3788
418	2726	3781
419	2733	3774
420	2739	3767
421	2744	3759
422	2750	3752
423	2758	3746
424	2764	3739
425	2769	3732
426	2775	3724
427	2782	3718
428	2788	3711
429	2794	3704
430	2800	3697
431	2806	3690
432	2812	3682
433	2818	3675
434	2824	3668
435	2830	3661
436	2836	3654
437	2842	3647
438	2848	3639
439	2854	3633
440	2861	3627
441	2876	3631
442	2890	3634
443	2897	3628
444	2904	3621
445	2910	3614
446	2916	3607
447	2922	3601
448	2928	3594
449	2934	3587
450	2940	3579
451	2947	3573
452	2953	3566
453	2959	3559
454	2966	3552
455	2972	3545
456	2978	3539
457	2986	3534
458	2992	3526
459	2998	3520
460	3005	3513
461	3011	3506
462	3017	3499
463	3023	3492
464	3029	3485
465	3035	3478
466	3044	3475
467	3050	3468
468	3056	3460
469	3062	3453
470	3068	3446
471	3074	3439
472	3080	3432
473	3086	3424
474	3092	3417
475	3098	3410
476	3104	3403
477	3110	3396
478	3116	3389
479	3122	3382
480	3128	3375
481	3134	3368
482	3140	3361
483	3146	3355
484	3152	3347
485	3158	3340
486	3164	3333
487	3170	3326
488	3176	3319
489	3182	3312
490	3188	3305
491	3196	3300
492	3202	3293
493	3208	3286
494	3214	3278
495	3219	3271
496	3225	3264
497	3231	3257
498	3237	3250
499	3243	3243
500	3249	3236
501	3255	3229
502	3262	3223
503	3268	3216
504	3274	3209
505	3280	3202
506	3286	3195
507	3292	3188
508	3298	3181
509	3304	3174
510	3310	3167
511	3316	3160
512	3322	3153
513	3328	3146
514	3333	3139
515	3339	3132
516	3345	3125
517	3351	3118
518	3357	3111
519	3363	3104
520	3369	3098
521	3375	3091
522	3381	3084
523	3387	3077
524	3393	3070
525	3399	3063
526	3405	3056
527	3411	3050
528	3417	3042
529	3423	3036
530	3429	3029
531	3436	3022
532	3445	3018
533	3451	3011
534	3456	3004
535	3463	2997
536	3469	2991
537	3475	2984
538	3481	2977
539	3487	2970
540	3493	2963
541	3498	2956
542	3504	2949
543	3510	2942
544	3516	2936
545	3525	2931
546	3540	2931
547	3546	2925
548	3553	2919
549	3560	2912
550	3566	2905
551	3571	2898
552	3578	2892
553	3584	2885
554	3590	2878
555	3596	2871
556	3602	2864
557	3608	2857
558	3613	2850
559	3619	2843
560	3625	2837
561	3631	2830
562	3637	2823
563	3643	2816
564	3649	2809
565	3655	2803
566	3661	2796
567	3667	2789
568	3673	2782
569	3679	2776
570	3686	2769
571	3692	2762
572	3698	2756
573	3704	2749
574	3710	2742
575	3716	2735
576	3722	2729
577	3728	2722
578	3735	2715
579	3741	2709
580	3747	2702
581	3752	2695
582	3759	2688
583	3765	2682
584	3770	2675
585	3777	2668
586	3782	2661
587	3788	2654
588	3794	2648
589	3800	2641
590	3806	2634
591	3812	2627
592	3818	2620
593	3824	2614
594	3830	2607
595	3837	2600
596	3842	2594
597	3849	2587
598	3855	2580
599	3861	2574
600	3866	2567
601	3872	2560
602	3878	2553
603	3884	2546
604	3890	2540
605	3896	2533
606	3902	2526
607	3908	2520
608	3914	2513
609	3920	2506
610	3926	2500
611	3933	2493
612	3938	2486
613	3944	2479
614	3951	2473
615	3957	2467
616	3963	2460
617	3969	2453
618	3975	2446
619	3981	2440
620	3988	2434
621	3994	2427
622	4000	2420
623	4006	2414
624	4012	2407
625	4019	2401
626	4025	2394
627	4031	2388
628	4039	2382
629	4052	2380
630	4058	2373
631	4064	2366
632	4070	2360
633	4076	2353
634	4083	2347
635	4089	2340
636	4096	2334
637	4102	2327
638	4108	2321
639	4115	2314
640	4121	2308
641	4127	2301
642	4133	2295
643	4139	2288
644	4146	2282
645	4152	2275
646	4158	2268
647	4164	2262
648	4171	2255
649	4177	2249
650	4183	2242
651	4189	2236
652	4195	2229
653	4201	2223
654	4208	2216
655	4214	2209
656	4220	2203
657	4226	2196
658	4233	2190
659	4240	2184
660	4246	2177
661	4252	2171
662	4258	2164
663	4264	2158
664	4270	2151
665	4276	2144
666	4283	2138
667	4288	2131
668	4295	2125
669	4301	2118
670	4308	2112
671	4314	2105
672	4320	2099
673	4326	2092
674	4333	2086
675	4340	2080
676	4346	2073
677	4352	2067
678	4358	2060
679	4364	2054
680	4371	2047
681	4377	2041
682	4383	2034
683	4389	2027
684	4395	2021
685	4401	2014
686	4407	2008
687	4414	2001
688	4425	1997
689	4431	1991
690	4437	1984
691	4443	1977
692	4449	1971
693	4455	1964
694	4461	1958
695	4467	1951
696	4473	1944
697	4479	1938
698	4485	1931
699	4491	1924
700	4497	1918
701	4503	1911
702	4509	1904
703	4514	1898
704	4520	1891
705	4526	1885
706	4532	1878
707	4538	1871
708	4544	1865
709	4550	1858
710	4556	1852
711	4562	1845
712	4571	1840
713	4577	1833
714	4583	1826
715	4589	1820
716	4595	1813
717	4601	1807
718	4606	1800
719	4612	1793
720	4618	1787
721	4624	1780
722	4631	1774
723	4637	1767
724	4643	1761
725	4649	1754
726	4654	1748
727	4661	1741
728	4667	1734
729	4673	1728
730	4678	1721
731	4684	1715
732	4691	1708
733	4697	1702
734	4703	1695
735	4709	1689
736	4715	1682
737	4721	1676
738	4727	1669
739	4733	1663
740	4739	1656
741	4745	1650
742	4752	1643
743	4757	1637
744	4763	1630
745	4769	1624
746	4775	1617
747	4782	1611
748	4787	1604
749	4793	1597
750	4799	1591
751	4805	1584
752	4812	1578
753	4818	1571
754	4824	1565
755	4830	1559
756	4836	1552
757	4842	1546
758	4848	1539
759	4854	1532
760	4860	1526
761	4866	1519
762	4872	1513
763	4878	1507
764	4884	1500
765	4890	1494
766	4896	1487
767	4902	1481
768	4909	1474
769	4914	1468
770	4920	1461
771	4926	1455
772	4934	1449
773	4940	1442
774	4946	1436
775	4953	1429
776	4959	1423
777	4965	1416
778	4970	1410
779	4976	1403
780	4982	1397
781	4988	1390
782	4994	1384
783	5000	1377
784	5006	1371
785	5012	1364
786	5018	1358
787	5024	1351
788	5030	1345
789	5036	1338
790	5042	1332
791	5048	1325
792	5054	1319
793	5061	1313
794	5067	1306
795	5073	1300
796	5079	1293
797	5085	1287
798	5091	1280
799	5097	1274
800	5104	1268
801	5112	1262
802	5118	1255
803	5124	1249
804	5130	1242
805	5136	1236
806	5142	1229
807	5148	1223
808	5154	1216
809	5160	1210
810	5166	1203
811	5172	1197
812	5178	1191
813	5184	1184
814	5190	1178
815	5196	1171
816	5202	1165
817	5208	1158
818	5216	1152
819	5222	1146
820	5229	1140
821	5234	1133
822	5240	1127
823	5247	1120
824	5253	1114
825	5259	1107
826	5264	1101
827	5271	1094
828	5276	1088
829	5282	1082
830	5288	1075
831	5294	1069
832	5301	1062
833	5307	1056
834	5313	1049
835	5319	1043
836	5325	1037
837	5330	1030
838	5336	1024
839	5342	1017
840	5348	1011
841	5354	1004
842	5360	998
843	5366	991
844	5373	985
845	5379	979
846	5385	972
847	5391	966
848	5402	960
849	5408	954
850	5414	948
851	5420	941
852	5426	935
853	5432	928
854	5438	922
855	5444	915
856	5450	909
857	5456	903
858	5462	896
859	5468	890
860	5474	883
861	5480	877
862	5486	870
863	5492	864
864	5498	858
865	5504	851
866	5510	845
867	5516	838
868	5522	832
869	5528	826
870	5534	819
871	5540	813
872	5546	806
873	5552	800
874	5558	794
875	5564	787
876	5570	781
877	5576	774
878	5581	768
879	5587	761
880	5594	755
881	5600	749
882	5606	742
883	5615	736
884	5621	730
885	5628	724
886	5634	717
887	5641	711
888	5647	705
889	5653	698
890	5659	692
891	5665	685
892	5671	679
893	5677	673
894	5683	666
895	5688	660
896	5694	653
897	5701	647
898	5707	641
899	5713	634
900	5719	628
901	5725	622
902	5731	615
903	5737	609
904	5743	602
905	5749	596
906	5755	590
907	5761	583
908	5767	577
909	5773	570
910	5778	564
911	5784	558
912	5790	551
913	5796	545
914	5802	539
915	5809	532
916	5815	526
917	5820	519
918	5826	513
919	5832	507
920	5838	500
921	5844	494
922	5850	488
923	5856	481
924	5862	475
925	5868	468
926	5874	462
927	5880	456
928	5886	449
929	5892	443
930	5898	437
931	5904	430
932	5910	424
933	5916	418
934	5922	411
935	5928	405
936	5934	398
937	5940	392
938	5946	386
939	5952	379
940	5957	373
941	5963	367
942	5969	360
943	5975	354
944	5981	348
945	5987	341
946	5993	335
947	5999	329
948	6005	322
949	6011	316
950	6016	310
951	6022	303
952	6028	297
953	6034	290
954	6040	284
955	6046	278
956	6052	271
957	6058	265
958	6063	259
959	6069	252
960	6075	246
961	6081	240
962	6087	233
963	6093	227
964	6099	221
965	6105	214
966	6111	208
967	6117	202
968	6123	195
969	6132	189
970	6138	183
971	6144	176
972	6149	170
973	6156	164
974	6162	158
975	6167	151
976	6173	145
977	6179	139
978	6185	132
979	6192	126
980	6198	120
981	6204	113
982	6210	107
983	6216	101
984	6222	94
985	6228	88
986	6234	82
987	6240	75
988	6246	69
989	6252	63
990	6258	56
991	6264	50
992	6270	44
993	6276	37
994	6282	31
995	6288	25
996	6294	18
997	6300	12
998	6306	6
999	6312	0
